Time,PosX,PosY,PosZ
0.0,-7662.312894480836,-6610.831640599783,501.9220827510031
0.137,-7668.525714536659,-6500.755154038826,501.9429206878943
0.17,-7670.0,-6473.0,502.0
0.377,-7678.60957409075,-6291.203305774059,502.75360479767346
0.47,-7680.0,-6221.0,503.0
0.577,-7678.670204864926,-6156.699753809733,503.06014026376056
0.73,-7673.0,-6071.0,503.0
0.777,-7670.887964938732,-6038.586094462077,503.03047561469896
0.95,-7662.0,-5905.0,503.0
0.977,-7660.535801351827,-5884.99303601169,502.88604809863506
1.21,-7644.0,-5711.0,503.0
1.257,-7638.417336520283,-5668.096392898647,504.3589411950096
1.47,-7608.0,-5466.0,514.0
1.658,-7590.757707405321,-5371.325761038051,517.7089336585342
1.83,-7576.0,-5306.0,519.0
2.017,-7553.288235535712,-5205.317391808741,520.7818603777259
2.071,-7547.0,-5179.0,521.0
2.25,-7529.0,-5110.0,521.0
2.43,-7510.0,-5038.0,524.0
2.457,-7506.255216025416,-5024.921608668993,524.5254596212939
2.651,-7476.0,-4925.0,528.0
2.697,-7470.7472261764715,-4907.772931487107,528.6311551953764
3.05,-7443.0,-4832.0,532.0
3.057,-7441.955325621615,-4829.718889595926,532.0866734871146
3.27,-7403.0,-4749.0,535.0
3.417,-7385.669890278196,-4719.465033440695,536.2845761410374
3.57,-7367.0,-4702.0,537.0
3.657,-7350.2186454569855,-4689.988984862979,537.2254782234992
3.817,-7309.133078756282,-4664.996075371171,537.4245351825911
3.93,-7279.0,-4650.0,538.0
4.017,-7256.2840281613435,-4640.750434083475,538.7862063106014
4.11,-7228.0,-4632.0,540.0
4.217,-7184.257665059178,-4621.9255413518895,541.9327030505635
4.331,-7139.0,-4613.0,544.0
4.457,-7109.135610458019,-4607.622958329439,545.5000095940144
4.591,-7082.0,-4604.0,547.0
4.617,-7074.930848360081,-4603.157732557548,547.3821639836626
4.811,-7009.0,-4596.0,551.0
4.977,-6950.527836941685,-4590.398125724747,554.6837862539761
4.99,-6946.0,-4590.0,555.0
5.137,-6895.2612041417315,-4585.924572340266,558.903155102423
5.25,-6847.0,-4582.0,563.0
5.297,-6822.517278729571,-4579.890237871096,565.1272322742936
5.497,-6699.396893180106,-4568.636849609761,575.9542969089484
5.57,-6663.0,-4565.0,579.0
5.657,-6629.90201257414,-4561.364497309325,581.5645225383112
5.857,-6579.593892437377,-4554.189613530719,584.782963627876
5.931,-6551.0,-4550.0,587.0
6.03,-6503.0,-4543.0,591.0
6.137,-6456.3716219326725,-4535.699277544606,595.0221799267416
6.337,-6362.653657187582,-4517.18239812037,603.3987672905226
6.389,-6322.0,-4508.0,607.0
6.57,-6152.0,-4468.0,622.0
6.577,-6147.42746282455,-4466.909541389852,622.4050212464159
6.737,-6103.966488825975,-4456.287603915037,626.3391034437918
6.83,-6087.0,-4452.0,628.0
6.897,-6065.092467129866,-4446.599624980606,630.1142703558352
7.097,-5953.922194336892,-4419.474169232804,640.648643829455
7.209,-5871.0,-4399.0,648.0
7.297,-5797.176250953309,-4380.610788845823,654.2619453656623
7.41,-5707.0,-4358.0,662.0
7.577,-5623.456806506969,-4336.755892905032,670.446866666634
7.73,-5564.0,-4321.0,677.0
8.051,-5357.0,-4269.0,696.0
8.057,-5350.5506421165765,-4267.591462588589,696.5701876119765
8.21,-5176.0,-4231.0,712.0
8.218,-5169.502965940049,-4229.660443872725,712.5839648802998
8.458,-5098.836997416253,-4218.195202566327,719.5868933914423
8.49,-5084.0,-4217.0,721.0
8.81,-4799.0,-4191.0,747.0
8.857,-4768.030566900263,-4187.460335532273,749.9049828739281
9.017,-4701.9924893315965,-4177.225972037946,756.4411863035398
9.11,-4666.0,-4170.0,760.0
9.417,-4473.241584269579,-4109.90971774207,777.6706203850736
9.431,-4458.0,-4103.0,779.0
9.59,-4261.0,-4006.0,796.0
9.697,-4176.9800916147615,-3963.6632220589568,803.3337654086181
9.971,-4091.0,-3922.0,811.0
10.057,-4045.9437405209965,-3901.6403173907624,814.7310636526588
10.231,-3918.0,-3850.0,825.0
10.297,-3856.390734162758,-3829.4744873140094,829.8276580000272
10.457,-3688.4271630275252,-3781.015492490626,842.523278218551
10.511,-3637.0,-3768.0,846.0
10.777,-3441.596838380569,-3732.6190111855053,855.463788112506
10.91,-3369.0,-3724.0,858.0
11.057,-3302.647162947449,-3717.0223138982633,860.4102968768834
11.23,-3203.0,-3705.0,862.0
11.297,-3144.6639122870183,-3696.811604209704,862.0127127501453
11.49,-2962.0,-3669.0,861.0
11.537,-2932.469564996231,-3663.9208689799166,860.8405255876465
11.83,-2838.0,-3638.0,861.0
11.937,-2784.991931941165,-3620.1017575063065,861.519372021017
12.031,-2734.0,-3601.0,862.0
12.297,-2608.176491172275,-3536.7707999005734,862.8688681576987
12.33,-2594.0,-3528.0,863.0
12.511,-2521.0,-3477.0,864.0
12.537,-2511.1854581916236,-3469.192314989983,864.2005611367613
12.77,-2431.0,-3394.0,866.0
12.777,-2428.817434740124,-3391.623301980371,866.0162195160261
12.929,-2385.0,-3339.0,866.0
13.057,-2354.0944043312347,-3294.347546982079,866.6855148357176
13.11,-2342.0,-3273.0,867.0
13.37,-2289.0,-3146.0,868.0
13.377,-2288.02616742533,-3143.048709485031,868.0336038276836
13.657,-2269.3334547246336,-3050.917326587339,869.8100540420228
13.69,-2268.0,-3039.0,870.0
13.87,-2262.0,-2965.0,871.0
13.937,-2261.898689453631,-2937.431789832044,871.5744029168535
14.09,-2266.0,-2876.0,873.0
14.097,-2266.281055436263,-2873.1989009625618,873.0465068711644
14.27,-2276.0,-2804.0,874.0
14.337,-2281.611032416627,-2777.1186147728076,874.7332042835627
14.55,-2306.0,-2692.0,879.0
14.698,-2327.6974304526316,-2634.3417904799876,883.3881833860659
14.73,-2333.0,-2622.0,884.0
14.978,-2381.4140579500076,-2527.5237303982303,883.9601078805136
14.99,-2384.0,-2523.0,884.0
15.11,-2411.0,-2478.0,885.0
15.138,-2417.6758912087557,-2467.5657128049106,885.2286701214957
15.33,-2466.0,-2398.0,886.0
15.418,-2487.756544164589,-2368.833203875989,885.6942818293799
15.57,-2532.0,-2313.0,885.0
15.697,-2586.5776056094464,-2246.8749693973914,885.5011198448154
15.81,-2630.0,-2195.0,886.0
15.897,-2649.203932237011,-2172.384485406705,885.9490905325811
16.11,-2671.0,-2138.0,886.0
16.217,-2692.6888144744016,-2093.7137762513426,887.7106520103871
16.417,-2738.203113462329,-1993.484875873338,891.8623466046034
16.43,-2740.0,-1989.0,892.0
16.697,-2747.539897520803,-1941.9600480561744,891.9263069475477
16.73,-2747.0,-1935.0,892.0
17.057,-2735.1848311335525,-1822.9949774962943,894.9559711181064
17.071,-2734.0,-1818.0,895.0
17.17,-2724.0,-1784.0,895.0
17.297,-2710.540182934292,-1743.8637995368326,894.8362845843457
17.47,-2684.0,-1683.0,893.0
17.497,-2677.9321905119477,-1671.2022679066174,892.3465369243412
17.697,-2625.0101195969437,-1577.1430744696659,885.4605004275903
17.711,-2622.0,-1572.0,885.0
17.977,-2583.3484023627407,-1513.2989396904618,877.5776286312177
18.05,-2564.0,-1489.0,875.0
18.297,-2463.0826353944894,-1365.8937653787063,864.4076580920913
18.31,-2459.0,-1361.0,864.0
18.457,-2430.3042174543502,-1327.5290609025813,861.1797764174765
18.711,-2379.0,-1273.0,856.0
18.737,-2365.708190972991,-1258.3032831901753,854.6235296505732
18.89,-2274.0,-1156.0,845.0
19.057,-2226.3095141886633,-1100.961003725337,839.3681139449961
19.217,-2209.0320278656404,-1075.9670662734702,836.5673112219795
19.27,-2197.0,-1059.0,835.0
19.417,-2149.688041105622,-992.7429781607436,829.221711605412
19.449,-2140.0,-979.0,828.0
19.617,-2099.598096128964,-919.8176421538182,822.3268233486011
19.65,-2091.0,-907.0,821.0
19.937,-1996.6685619240368,-766.9039617111557,806.2326705304158
19.97,-1987.0,-753.0,805.0
20.15,-1929.0,-674.0,799.0
20.177,-1913.2673303039287,-653.2699507917399,797.2131635877149
20.269,-1852.0,-573.0,790.0
20.417,-1796.641792947716,-501.16884568617957,783.278124575213
20.71,-1772.0,-474.0,780.0
20.737,-1766.2259870364935,-467.2943973008498,779.3506439689459
21.01,-1688.0,-375.0,771.0
21.017,-1686.528189611713,-373.2634643986241,770.8561708534797
21.23,-1655.0,-337.0,768.0
21.338,-1634.4289635595067,-315.08031999436,765.7029883246656
21.45,-1611.0,-291.0,763.0
21.618,-1579.0421606494826,-260.2805522218208,759.5906306056806
21.65,-1573.0,-255.0,759.0
21.978,-1507.827491803069,-210.9969790232876,753.5393580411219
22.01,-1501.0,-208.0,753.0
22.211,-1453.0,-197.0,749.0
22.218,-1450.9431979760718,-197.01032927839097,748.806301432572
22.37,-1403.0,-203.0,744.0
22.537,-1368.5112083926192,-212.33536326610727,740.3926597274731
22.751,-1337.0,-233.0,737.0
23.017,-1283.138364675166,-279.82449984825905,731.2533822408413
23.031,-1281.0,-282.0,731.0
23.257,-1260.7324114378916,-310.100267259998,727.9734373808532
23.331,-1255.0,-322.0,727.0
23.457,-1242.9655135501425,-349.0544190706549,725.0820797992341
23.571,-1232.0,-378.0,723.0
23.657,-1225.0498919150857,-400.97865307508164,721.1745868834248
23.851,-1213.0,-451.0,717.0
23.897,-1210.7025639197723,-460.73092723653616,716.2414173940555
24.09,-1200.0,-503.0,713.0
24.257,-1180.7864612524615,-570.1850530485771,707.190931691602
24.417,-1161.3037471857308,-635.7246314037346,701.3779483915315
24.431,-1160.0,-640.0,701.0
24.771,-1138.0,-703.0,696.0
24.817,-1133.0770265354538,-715.8914101388248,695.1825160858909
24.991,-1108.0,-779.0,691.0
25.191,-1073.0,-856.0,685.0
25.217,-1069.3974584105997,-863.4270052445016,684.6526908330628
25.291,-1060.0,-882.0,684.0
25.631,-1005.0,-977.0,675.0
25.657,-1001.0724618923821,-983.1438991100578,674.5189028203647
25.83,-974.0,-1021.0,672.0
25.857,-968.5179630272588,-1027.6119906184522,671.4015426331672
26.05,-924.0,-1076.0,666.0
26.217,-899.3521561064507,-1098.0083176219862,663.3467247880183
26.45,-875.0,-1111.0,662.0
26.497,-868.439327413945,-1114.479043590654,661.7548701968853
26.61,-849.0,-1123.0,661.0
26.697,-828.4343528503797,-1127.8224701341678,659.9518493866885
26.83,-796.0,-1132.0,658.0
26.977,-775.6902393014193,-1132.0915182335773,656.2804831747065
27.21,-761.0,-1120.0,655.0
27.297,-753.6531770926009,-1110.5436741186459,655.1747767337353
27.457,-738.7779579456889,-1087.8868182395643,656.0170715438907
27.53,-734.0,-1078.0,656.0
27.818,-729.9928299840863,-1044.1249348050035,652.6733381904654
27.931,-732.0,-1029.0,650.0
27.978,-733.1401944267933,-1021.9982741043215,648.6662848801167
28.11,-737.0,-1002.0,645.0
28.218,-740.2892890228676,-988.98463742774,643.6048830665962
28.418,-746.9908430820441,-971.2032265531105,644.0935725567049
28.51,-751.0,-962.0,644.0
28.658,-758.8644916356643,-944.7530345400584,642.9511984939231
28.85,-770.0,-922.0,641.0
28.858,-770.436555644599,-921.1665934426104,640.9361987493015
29.017,-778.6386733417579,-906.5526851764857,639.9708292033725
29.297,-794.0084631279598,-884.3393404440309,637.9367840812815
29.351,-798.0,-879.0,637.0
29.457,-806.9143698444921,-867.3366964204738,634.5929192002415
29.551,-819.0,-853.0,632.0
29.73,-853.0,-816.0,627.0
29.897,-864.6155327256814,-803.5325932850986,625.6961649391053
29.97,-870.0,-798.0,625.0
30.137,-894.3926556024574,-773.2435833698092,621.27479857819
30.33,-932.0,-734.0,617.0
30.417,-947.662635899817,-716.7015984936987,616.5280407083619
30.471,-957.0,-706.0,616.0
30.63,-983.0,-672.0,612.0
30.777,-1005.6942001882389,-625.8049433374833,608.6499012158099
30.937,-1024.6723430703255,-573.0969317763046,606.2929115048635
30.971,-1027.0,-565.0,606.0
31.217,-1028.5711076181865,-531.836062717144,605.2757187823647
31.251,-1028.0,-527.0,605.0
31.537,-1014.5073250164759,-464.9977843973174,599.1325463227865
31.571,-1009.0,-455.0,598.0
31.777,-960.5336430181068,-390.97645014402434,590.3471587348433
31.791,-958.0,-388.0,590.0
32.017,-938.75961039777,-370.6776900559248,588.3793306721075
32.071,-933.0,-367.0,588.0
32.33,-883.0,-333.0,583.0
32.417,-863.8283155100643,-321.44942919781494,580.233205060676
32.489,-849.0,-313.0,578.0
32.71,-808.0,-292.0,573.0
32.777,-789.7613407562476,-283.6342931886651,571.391263594468
32.99,-720.0,-253.0,566.0
33.017,-712.3188791219934,-249.7019101767453,565.4042799677529
33.177,-674.2374039945242,-233.7281548865314,562.3788281206313
33.337,-641.9875680002353,-221.3855590497548,560.4213440698283
33.45,-612.0,-211.0,560.0
33.47,-606.0,-209.0,560.0
33.577,-568.6216084079244,-197.78054317358362,559.1291498870567
33.777,-488.32662230292783,-177.57881218807356,554.8808206287954
33.83,-472.0,-174.0,554.0
33.937,-446.89891706493603,-169.38252127606765,552.7084263313484
34.17,-408.0,-168.0,551.0
34.257,-387.45957504717677,-168.6287427173213,550.1065286012303
34.35,-364.0,-171.0,549.0
34.578,-313.1608314249111,-188.6082787901376,546.2005022576177
34.61,-307.0,-192.0,546.0
34.778,-278.69088385989005,-213.3700720385933,546.0355105381833
34.87,-263.0,-234.0,546.0
34.978,-242.66805222955594,-269.8145784830341,545.4136598736528
35.05,-231.0,-292.0,545.0
35.338,-214.81224158570762,-324.1318899778243,544.8555490099011
35.49,-206.0,-368.0,545.0
35.591,-196.0,-419.0,545.0
35.658,-190.95200978285783,-447.3269205035463,544.9955764398477
36.03,-187.0,-499.0,545.0
36.057,-187.21649536672874,-498.0218279885513,545.0001589024142
36.19,-188.0,-497.0,545.0
36.297,-186.74137657291715,-528.5482013550235,545.0000550469897
36.351,-186.0,-547.0,545.0
36.55,-185.0,-600.0,545.0
36.697,-186.36939411726775,-645.2530839181035,545.0045608562461
36.79,-188.0,-676.0,545.0
36.951,-192.0,-731.0,545.0
37.097,-197.051033786529,-788.641106197469,545.1408144707232
37.171,-200.0,-818.0,545.0
37.337,-207.35235012166166,-879.7191912742242,543.7693744402641
37.451,-213.0,-927.0,543.0
37.657,-224.24006245117886,-1032.3156288341474,542.915879406863
37.731,-228.0,-1068.0,543.0
37.937,-236.75392420562213,-1148.2013851787226,543.081029127037
38.097,-244.2253405547636,-1215.8950535895822,543.0108209340668
38.111,-245.0,-1223.0,543.0
38.271,-255.0,-1315.0,543.0
38.337,-259.4146885739603,-1354.9996723581344,543.3111056680574
38.531,-270.0,-1453.0,543.0
38.537,-270.1496157056433,-1454.6621901694082,542.8609454227104
38.571,-271.0,-1464.0,542.0
38.817,-298.156113599553,-1674.4096897369166,541.831050338556
38.851,-302.0,-1701.0,542.0
38.977,-313.2456423135736,-1769.119185073869,542.278427131583
39.217,-332.38872684492725,-1835.542160850589,542.001911388158
39.23,-334.0,-1841.0,542.0
39.53,-386.0,-2015.0,542.0
39.577,-395.2449575220209,-2043.1492476572687,541.8219871116343
39.75,-431.0,-2146.0,541.0
39.91,-470.0,-2255.0,541.0
39.977,-491.55680317252046,-2311.5585974178757,541.0153015038405
40.11,-537.0,-2427.0,541.0
40.297,-578.152981986873,-2529.0639673392807,540.9898375594996
40.457,-604.2209643925262,-2588.4650229046415,540.9946187602567
40.53,-621.0,-2625.0,541.0
40.737,-681.3526949691069,-2753.262093933581,541.0041131781178
40.75,-685.0,-2761.0,541.0
40.93,-742.0,-2871.0,541.0
40.937,-745.5331077874126,-2876.692950133612,541.0133379145165
41.098,-860.3602079765703,-3044.3870701301535,541.665336431327
41.19,-920.0,-3127.0,542.0
41.338,-972.470124593064,-3195.5463453679167,542.1504176244887
41.551,-1040.0,-3250.0,542.0
41.578,-1057.4045492818584,-3263.6885916341744,542.0022779858693
41.738,-1188.058129516106,-3365.1206545798264,542.0383528632773
41.77,-1211.0,-3382.0,542.0
41.898,-1280.8383307031997,-3428.4721931744525,541.6305155854267
42.091,-1365.0,-3470.0,541.0
42.098,-1368.9423523143882,-3471.923905974523,540.9930322261998
42.33,-1526.0,-3548.0,541.0
42.418,-1585.9879702875128,-3575.9981143053074,540.6429515845196
42.55,-1674.0,-3617.0,540.0
42.75,-1808.0,-3683.0,540.0
42.777,-1826.2140851892661,-3692.138391803987,540.0645202912461
43.05,-2009.0,-3785.0,541.0
43.177,-2090.670921934085,-3826.776571879573,541.029336653809
43.231,-2133.0,-3848.0,541.0
43.471,-2366.0,-3962.0,541.0
43.537,-2404.8875017247556,-3981.0253359767166,541.1790085953592
43.751,-2492.0,-4020.0,542.0
43.857,-2587.6180935011735,-4058.531228059403,542.1037015700443
44.057,-2812.7728000742577,-4146.9528285221695,541.9767012469298
44.091,-2839.0,-4157.0,542.0
44.377,-2950.3991387506303,-4193.805923998341,542.0929468765812
44.391,-2958.0,-4196.0,542.0
44.611,-3123.0,-4243.0,539.0
44.697,-3180.5880348955584,-4257.872353764444,537.3104993014606
44.831,-3289.0,-4280.0,533.0
44.99,-3497.0,-4314.0,524.0
45.017,-3524.738993372521,-4318.3157387990905,522.7719361006529
45.337,-3632.8040695338145,-4330.877202238348,517.3350425480925
45.411,-3658.0,-4333.0,516.0
45.537,-3721.786039602374,-4339.366749046161,512.7975146568692
45.569,-3738.0,-4341.0,512.0
45.857,-3857.5680794072355,-4352.897879506657,506.29836034016495
45.91,-3884.0,-4356.0,505.0
46.09,-3985.0,-4369.0,500.0
46.097,-3988.27739347815,-4369.448409180478,499.84706615797967
46.257,-4041.2281894577695,-4377.367958839073,497.7188507661488
46.55,-4085.0,-4391.0,497.0
46.577,-4090.674765240761,-4393.176786475859,496.81064572878756
46.669,-4112.0,-4403.0,496.0
46.737,-4128.659641220067,-4414.78139746981,495.2777388638389
46.937,-4174.096081223791,-4461.617925983629,493.088488834474
46.949,-4176.0,-4464.0,493.0
47.21,-4199.0,-4505.0,492.0
47.297,-4207.540664328911,-4521.419623565073,491.49775904909256
47.55,-4239.0,-4574.0,490.0
47.63,-4249.0,-4587.0,490.0
47.658,-4252.637005853772,-4591.261491246425,490.0155542150414
47.91,-4293.0,-4624.0,490.0
47.978,-4308.439134606668,-4631.058357012503,489.78898094594877
48.178,-4358.745165590493,-4646.534751356773,489.00444607083233
48.21,-4365.0,-4648.0,489.0
48.47,-4400.0,-4651.0,490.0
48.618,-4426.511919696397,-4650.325080105675,490.15663107855846
48.778,-4459.726313851511,-4647.859838096307,490.01299286353054
48.81,-4466.0,-4647.0,490.0
48.938,-4490.358155518153,-4642.3798672331,489.9977550927018
48.97,-4497.0,-4641.0,490.0
49.151,-4539.0,-4632.0,490.0
49.177,-4544.627185726017,-4630.618835723347,490.0003073047338
49.39,-4587.0,-4619.0,490.0
49.63,-4644.0,-4607.0,490.0
49.657,-4650.831165440387,-4605.913754212857,490.0219456879438
49.87,-4707.0,-4600.0,490.0
49.977,-4737.06375254812,-4599.284732725838,489.2899337391152
50.071,-4765.0,-4600.0,489.0
50.231,-4822.0,-4605.0,490.0
50.257,-4834.888334464742,-4606.647166644187,489.99525169132335
50.41,-4920.0,-4619.0,489.0
50.617,-4967.551230770788,-4626.668732700431,488.8178101481341
50.75,-4994.0,-4631.0,489.0
50.777,-5001.971193937192,-4632.238303066935,489.01915431646256
50.99,-5087.0,-4645.0,489.0
51.017,-5098.448926377667,-4646.686724728797,488.9860574568979
51.217,-5184.2534206788805,-4658.998158261824,488.94237512802334
51.25,-5199.0,-4661.0,489.0
51.417,-5276.817009498537,-4671.01757232512,489.6512113228768
51.53,-5330.0,-4678.0,490.0
51.651,-5388.0,-4686.0,490.0
51.657,-5391.200829229853,-4686.4281275057065,489.989806725392
51.817,-5491.483102731598,-4699.137056050567,489.36873006568976
51.951,-5573.0,-4709.0,489.0
51.977,-5586.4715344489905,-4710.602795811363,489.0011494782158
52.25,-5703.0,-4724.0,490.0
52.257,-5706.36362065914,-4724.384339654851,490.02900254193236
52.457,-5816.8174894980275,-4737.012142981145,490.6151533352034
52.55,-5871.0,-4743.0,490.0
52.629,-5918.0,-4748.0,489.0
52.697,-5966.775612253461,-4752.961486470577,488.68510263032704
52.909,-6148.0,-4770.0,490.0
52.977,-6199.453471635326,-4774.2138628951425,490.08434721627054
53.27,-6378.0,-4786.0,489.0
53.297,-6392.00223637767,-4786.867414478862,488.9769780610977
53.577,-6515.6298437867235,-4794.533410392442,489.94530547102977
53.81,-6599.0,-4805.0,491.0
53.817,-6601.336474302302,-4805.431758821643,491.02076917765834
54.097,-6688.665159641196,-4829.7896084806835,491.2755329946105
54.19,-6719.0,-4844.0,491.0
54.298,-6756.308111191537,-4865.347690978993,490.41099774748517
54.35,-6774.0,-4877.0,490.0
54.538,-6833.325768113678,-4924.93690566863,488.1252098366438
54.57,-6843.0,-4934.0,488.0
54.65,-6867.0,-4958.0,488.0
54.818,-6919.602402175989,-5018.3850996164565,487.5399684114579
54.978,-6970.31718138781,-5086.516278951964,486.4355240831439
55.03,-6986.0,-5110.0,486.0
55.37,-7073.0,-5265.0,483.0
55.458,-7086.846756474952,-5294.472428135817,482.7563485074636
55.691,-7113.0,-5363.0,483.0
55.778,-7124.921506569133,-5397.120005644119,483.0690875910673
55.89,-7141.0,-5446.0,483.0
55.937,-7147.339896991614,-5466.918351158191,482.8740547905221
56.15,-7174.0,-5577.0,482.0
56.217,-7182.34300969021,-5624.790574644395,481.89269980899974
56.43,-7206.0,-5788.0,482.0
56.537,-7212.976989308889,-5839.535065545741,482.04617260585337
56.73,-7216.0,-5902.0,482.0
56.777,-7214.719529507674,-5919.647369752089,481.9471234552097
57.777,-7038.418736324644,-6475.062828352612,479.73465718331926
57.851,-7021.0,-6512.0,480.0
