Time,PosX,PosY,PosZ
0.0,-7657.56625850447,-6680.764886067387,501.81410599515334
0.168,-7665.823902688016,-6549.615070713418,501.86744040009006
0.197,-7667.0,-6530.0,502.0
0.328,-7671.75790688409,-6447.327529593185,502.8949161722935
0.356,-7673.0,-6426.0,503.0
0.457,-7678.0,-6337.0,503.0
0.528,-7679.881212182518,-6282.94110496391,502.9767522041888
0.676,-7679.0,-6187.0,503.0
0.768,-7676.036460013273,-6119.728096891369,502.9946529521737
0.896,-7670.0,-6020.0,503.0
1.048,-7662.092328794511,-5902.8167796279395,503.112965414335
1.196,-7653.0,-5793.0,503.0
1.337,-7642.0,-5692.0,503.0
1.408,-7634.5810482875695,-5636.404056746313,504.3596797729748
1.655,-7603.0,-5438.0,514.0
1.808,-7586.603366501584,-5350.611201256263,518.2887090712803
1.968,-7572.270438553733,-5286.952761805302,520.7414513509776
2.096,-7561.0,-5239.0,521.0
2.255,-7546.0,-5177.0,520.0
2.288,-7542.138983047435,-5161.69959269197,520.1486883445394
2.476,-7518.0,-5069.0,523.0
2.568,-7509.884808498213,-5038.6437366864,523.8253990076208
2.776,-7495.0,-4988.0,525.0
2.848,-7486.879974711797,-4962.223163616418,525.9833097926675
3.088,-7453.911341139223,-4861.447555319375,530.5844712659051
3.115,-7451.0,-4853.0,531.0
3.248,-7440.043644541289,-4823.1761913951195,532.5723508084344
3.448,-7426.771041137196,-4795.488810919269,533.8568159325356
3.476,-7424.0,-4790.0,534.0
3.607,-7407.7780831608125,-4758.410449900125,534.5738525568578
3.695,-7395.0,-4737.0,535.0
3.856,-7369.0,-4705.0,536.0
3.927,-7355.664860740429,-4692.771379353302,536.4210673899488
4.036,-7333.0,-4676.0,537.0
4.247,-7282.330229316638,-4650.585481026619,537.9310017406858
4.356,-7248.0,-4639.0,539.0
4.527,-7181.0355251438605,-4621.441186050795,541.9462288982486
4.596,-7158.0,-4616.0,543.0
4.687,-7135.5418491527225,-4611.011374349368,543.9732899102091
4.927,-7070.066146459739,-4602.542046902143,547.6628854434304
4.936,-7065.0,-4602.0,548.0
5.128,-6922.926762950865,-4587.537523947564,557.8098903557485
5.156,-6906.0,-4586.0,559.0
5.288,-6853.162390091227,-4582.1748542132755,562.7908976444896
5.336,-6837.0,-4581.0,564.0
5.496,-6773.0,-4575.0,569.0
5.608,-6707.367278083854,-4568.218497992218,574.3636436400999
5.768,-6599.897405899475,-4556.621939888684,583.3507607860341
5.836,-6569.0,-4553.0,586.0
6.008,-6531.528055338527,-4547.342254648848,589.4157374769304
6.076,-6512.0,-4544.0,591.0
6.248,-6427.209888524358,-4529.768458549385,597.6336423530314
6.256,-6423.0,-4529.0,598.0
6.488,-6305.427570769758,-4504.29018854792,609.6743147374993
6.516,-6291.0,-4501.0,611.0
