Time,PosX,PosY,PosZ
0.0,-7661.098918736504,-6618.093197075976,501.60443496399614
0.078,-7665.585788696944,-6547.9737272725,501.89510957499635
0.1,-7667.0,-6526.0,502.0
0.279,-7679.0,-6336.0,503.0
0.318,-7680.554579014515,-6306.948681262128,503.11409721694946
0.559,-7680.0,-6204.0,503.0
0.638,-7677.204747371382,-6151.200186167595,502.9526064355652
0.878,-7664.886632089026,-5947.993606329756,502.98457843888366
0.899,-7664.0,-5934.0,503.0
0.999,-7660.0,-5875.0,503.0
1.158,-7649.475025851405,-5759.965336987655,501.7519650462594
1.259,-7641.0,-5684.0,503.0
1.418,-7626.0,-5574.0,510.0
1.438,-7623.857837002434,-5560.0589751944135,510.7884186320783
1.739,-7585.0,-5346.0,517.0
1.759,-7582.155807644634,-5332.488940251782,517.2869476121458
2.079,-7538.0,-5146.0,521.0
2.198,-7527.040824868436,-5102.447766494174,521.5625787968333
2.518,-7506.0826606723,-5025.292294006213,522.9867353982102
2.519,-7506.0,-5025.0,523.0
2.718,-7486.465120616437,-4957.931017695361,526.6065527260591
2.739,-7484.0,-4950.0,527.0
2.918,-7459.908852168968,-4877.710087496219,530.0570074057014
2.979,-7451.0,-4854.0,531.0
3.198,-7417.486298934484,-4779.793645289231,534.026895725753
3.358,-7396.317312069251,-4740.541131077973,535.6780151371015
3.4,-7392.0,-4733.0,536.0
3.598,-7377.520504849909,-4711.711217391545,536.8987067170704
3.699,-7366.0,-4701.0,537.0
3.798,-7348.589707694011,-4686.763477004124,536.8846182323233
3.879,-7329.0,-4674.0,537.0
4.038,-7274.711255410382,-4649.623205723168,538.5839520338477
4.238,-7194.740388741295,-4624.197434301714,541.9663931927105
4.24,-7194.0,-4624.0,542.0
4.438,-7126.78295943904,-4610.082661797731,545.2887648938016
4.598,-7083.241544473236,-4604.2296349360295,547.543954501963
4.639,-7074.0,-4603.0,548.0
4.798,-7045.554049980953,-4599.273804375361,549.2983647047737
4.958,-7003.38788319635,-4595.034982565909,551.9721581946463
4.959,-7003.0,-4595.0,552.0
5.179,-6896.0,-4586.0,560.0
5.238,-6871.954512218496,-4584.095756343157,561.6588975128536
5.36,-6823.0,-4580.0,565.0
5.478,-6753.602082749258,-4573.169922880995,570.3784205721473
5.638,-6641.332626048228,-4561.274894734404,579.644777381436
5.719,-6602.0,-4557.0,583.0
5.878,-6565.404845074917,-4552.737620267123,586.4117481054831
5.999,-6535.0,-4548.0,589.0
6.118,-6477.838451536272,-4538.716229820623,593.3857251041326
6.18,-6445.0,-4533.0,596.0
6.42,-6323.0,-4508.0,607.0
6.438,-6312.906408652877,-4505.741288966336,607.9527916180202
6.62,-6206.0,-4481.0,618.0
6.678,-6175.344439485267,-4473.775122363407,620.7100305821134
6.878,-6077.0,-4450.0,629.0
6.918,-6055.2172180881425,-4444.5674315413435,630.929766444242
6.979,-6021.0,-4436.0,634.0
7.238,-5875.571848052109,-4400.141150053856,646.9492394201745
7.239,-5875.0,-4400.0,647.0
