Time,PosX,PosY,PosZ
0.0,-7661.080624952957,-6598.918040933292,501.83905124760827
0.106,-7666.0,-6538.0,502.0
0.427,-7681.0,-6284.0,503.0
0.433,-7680.867238701533,-6276.45809616653,503.0061794749825
0.586,-7673.0,-6073.0,503.0
0.594,-7672.6557115896285,-6065.293623314523,503.00140611146765
0.834,-7667.484155381935,-5975.43409355603,503.0816252696938
0.866,-7666.0,-5959.0,503.0
1.186,-7638.0,-5663.0,503.0
1.233,-7634.520628413475,-5632.074361408017,504.11195399219844
1.393,-7625.433951442158,-5569.885514671019,510.243214047816
1.486,-7620.0,-5538.0,513.0
1.793,-7590.505550041074,-5376.949005952268,515.7376262562578
1.807,-7588.0,-5365.0,516.0
1.966,-7555.0,-5214.0,520.0
2.073,-7541.095439824198,-5152.921590481379,521.3079343455776
2.347,-7528.0,-5106.0,521.0
2.433,-7520.925800191553,-5079.593798323193,521.591592723744
2.607,-7501.0,-5007.0,524.0
2.673,-7491.710459095331,-4975.87312151695,525.2784262214403
2.833,-7466.747951551985,-4897.57536843345,528.903211795992
2.887,-7459.0,-4875.0,530.0
3.153,-7428.40234214394,-4799.513874921607,533.9282578761671
3.286,-7417.0,-4774.0,535.0
3.433,-7407.002594517016,-4750.190456930335,535.5060111420415
3.606,-7382.0,-4719.0,536.0
3.673,-7362.862202591675,-4702.959080565767,536.4336339047182
3.866,-7296.0,-4656.0,538.0
3.913,-7283.9816418530645,-4648.898940780904,538.2810568817567
4.206,-7232.0,-4633.0,540.0
4.313,-7202.447870854633,-4625.786953329968,541.5394626961005
4.407,-7173.0,-4619.0,543.0
4.673,-7086.79292053709,-4604.331211581753,546.4389312957511
4.706,-7076.0,-4603.0,547.0
4.887,-7014.0,-4597.0,551.0
4.913,-7003.657360057369,-4596.072934527534,551.7032593029021
5.146,-6901.0,-4587.0,559.0
5.153,-6898.2038266544205,-4586.7605535808525,559.2229592195936
5.305,-6842.0,-4582.0,564.0
5.433,-6791.757000663494,-4577.440584985598,568.0236539284898
5.486,-6767.0,-4575.0,570.0
5.746,-6619.0,-4559.0,582.0
5.753,-6615.636565012189,-4558.620373469798,582.2635271057006
6.033,-6513.773768322608,-4545.349030569986,589.8744723213389
6.066,-6500.0,-4543.0,591.0
6.246,-6410.0,-4526.0,599.0
6.313,-6373.567821907663,-4518.6666797952985,602.6385548998207
6.466,-6290.0,-4501.0,611.0
6.473,-6286.345317939018,-4500.194300839798,611.3213047648255
6.646,-6199.0,-4480.0,618.0
6.713,-6163.989848978988,-4471.489230332203,620.7039590399689
6.926,-6045.0,-4442.0,631.0
7.074,-5955.848430293938,-4420.598931756566,640.1154165597245
7.106,-5937.0,-4416.0,642.0
7.354,-5797.972916945023,-4380.758408021088,654.4209817116474
