Time,PosX,PosY,PosZ
0.0,-7659.535042598658,-6651.784870933447,502.06072018952005
0.027,-7660.752357789812,-6631.957275275278,502.0468262345356
0.077,-7663.0,-6595.0,502.0
0.257,-7671.0,-6460.0,502.0
0.377,-7676.0,-6370.0,503.0
0.427,-7677.666363656274,-6332.414372791249,503.2089403666293
0.597,-7680.0,-6204.0,503.0
0.707,-7677.025982271308,-6120.321124294514,502.9301333011555
0.877,-7668.0,-5990.0,503.0
1.028,-7659.465577294606,-5873.336670341495,503.11054381314165
1.117,-7654.0,-5807.0,503.0
1.188,-7649.283887653416,-5756.237343671036,502.7646639628054
1.237,-7645.0,-5718.0,503.0
1.508,-7604.200131865614,-5450.142663897286,512.6737303935815
1.557,-7599.0,-5419.0,514.0
1.708,-7591.9997349293035,-5381.246812703974,515.4405912696459
1.797,-7588.0,-5364.0,516.0
2.107,-7554.434022323995,-5212.638126992311,520.8312697429436
2.137,-7551.0,-5198.0,521.0
2.257,-7538.0,-5145.0,521.0
2.267,-7536.937190503339,-5140.800616665733,521.0149769608691
2.517,-7511.0,-5043.0,523.0
2.587,-7504.156038711341,-5018.128344353778,523.7917370081195
2.678,-7495.0,-4986.0,525.0
2.787,-7482.5813479185435,-4945.138042264224,526.8839142497274
2.997,-7454.0,-4863.0,531.0
3.147,-7429.634126826101,-4806.5420730837495,533.2603023566985
3.317,-7406.0,-4754.0,535.0
3.427,-7398.018641938489,-4732.145293803619,535.6126653312458
3.757,-7348.0,-4686.0,537.0
3.827,-7312.191321368632,-4667.338027409518,537.8622717140316
3.916,-7265.0,-4644.0,539.0
3.987,-7238.502787124451,-4631.4867330977695,539.6474481452085
4.227,-7205.504487850613,-4622.706048470533,540.6922459863839
4.337,-7177.0,-4619.0,542.0
4.507,-7098.25294744673,-4606.498100495123,545.7235246536512
4.577,-7058.0,-4601.0,548.0
4.667,-7001.784857487969,-4594.669210535614,551.6364127887308
4.956,-6825.0,-4580.0,565.0
5.027,-6797.906848332317,-4577.735332825071,567.1529329469702
5.336,-6719.0,-4570.0,574.0
5.387,-6698.342551059612,-4567.891967984595,575.8348235867638
5.547,-6620.414336497033,-4559.527425349745,582.6311699193516
5.556,-6616.0,-4559.0,583.0
5.737,-6528.0,-4547.0,590.0
5.827,-6482.322289911728,-4539.657433621094,593.5313817135899
5.987,-6399.455626464753,-4524.671340319833,600.0513249401561
6.057,-6366.0,-4518.0,603.0
6.147,-6326.110437353354,-4509.438657486841,606.8769670632013
6.277,-6251.0,-4492.0,614.0
6.387,-6146.746753522283,-4467.365602379907,622.7679730733655
6.416,-6120.0,-4461.0,625.0
6.707,-5948.325165987086,-4418.883819427903,639.9306017263773
6.897,-5869.0,-4399.0,648.0
7.107,-5769.238490630126,-4374.692459687343,659.2109930497683
7.317,-5653.0,-4345.0,669.0
7.377,-5616.0,-4335.0,671.0
7.467,-5556.490657446835,-4318.890646857666,675.4586313098065
7.628,-5438.115300255703,-4287.652855842741,687.7337497890021
7.717,-5367.0,-4271.0,695.0
7.868,-5237.432853720557,-4244.491514952532,707.3910916573075
8.097,-5065.0,-4215.0,723.0
8.108,-5059.300494252186,-4214.174075049243,723.5172918884565
