Time,PosX,PosY,PosZ
0.0,-7382.007672623705,-8200.975392937362,503.00000003680924
0.087,-7382.01196041733,-8200.961657063413,503.00000005701787
0.161,-7382.0,-8201.0,503.0
0.287,-7381.947707831905,-8201.167639241181,502.99999975071205
0.4,-7382.0,-8201.0,503.0
0.607,-7382.666717194662,-8198.934832431301,503.000001505909
0.66,-7383.0,-8198.0,503.0
0.88,-7385.0,-8192.0,503.0
0.887,-7385.065884033206,-8191.7342272111055,503.0000015778207
1.14,-7388.0,-8179.0,503.0
1.207,-7389.460702186708,-8174.826193563652,502.9998750663548
1.341,-7393.0,-8165.0,503.0
1.407,-7394.700482403383,-8159.005902006473,503.0006839644826
1.5,-7397.0,-8150.0,503.0
1.607,-7399.466022623078,-8140.291747803395,502.9922927010089
1.72,-7403.0,-8127.0,503.0
1.807,-7407.211738725199,-8111.81630451634,503.0347097008934
2.0,-7418.0,-8074.0,503.0
2.047,-7419.871014904799,-8067.661051311291,502.9014822734354
2.32,-7428.0,-8041.0,502.0
2.407,-7432.417763496479,-8025.478239351093,501.89304855220234
2.647,-7448.98381312334,-7965.700568119841,501.9947076432376
2.661,-7450.0,-7962.0,502.0
3.047,-7477.826568282865,-7859.921091974339,502.00214909372386
3.081,-7480.0,-7852.0,502.0
3.207,-7487.473234827945,-7824.939241936979,501.9967146279011
3.421,-7500.0,-7778.0,502.0
3.528,-7507.505908907514,-7747.896727223111,502.0002805184888
3.561,-7510.0,-7738.0,502.0
3.768,-7527.740314702202,-7669.06459613066,501.9990805965824
3.781,-7529.0,-7664.0,502.0
4.088,-7560.887026913268,-7527.152989148306,502.00675513967127
4.101,-7562.0,-7522.0,502.0
4.288,-7574.508718931448,-7459.3432590385255,501.8228422405551
4.421,-7583.0,-7412.0,502.0
4.488,-7588.022130396862,-7383.417383890646,502.2807573902821
4.64,-7600.0,-7312.0,503.0
4.821,-7612.0,-7227.0,503.0
4.928,-7619.206705069691,-7167.144715455535,503.02967768234555
5.088,-7630.138420825355,-7062.248740245397,503.0232819076778
5.101,-7631.0,-7053.0,503.0
5.367,-7647.2680458501945,-6850.095424573464,502.0365616279286
5.381,-7648.0,-6840.0,502.0
5.807,-7663.680268228461,-6594.455464683434,502.0019343204932
5.82,-7664.0,-6589.0,502.0
5.967,-7667.047599414512,-6536.0399294677845,501.8958275467159
6.141,-7671.0,-6472.0,502.0
6.247,-7674.635150467815,-6418.655730347229,502.4450564947936
6.38,-7679.0,-6344.0,503.0
6.407,-7679.610360529974,-6329.061917785275,503.04426289359617
6.56,-7681.0,-6245.0,503.0
6.86,-7673.0,-6078.0,503.0
6.887,-7672.182522557118,-6063.965247453771,502.99938817166327
7.021,-7668.0,-5994.0,503.0
7.047,-7666.997514881771,-5978.9653903548915,503.0079002544957
7.321,-7654.0,-5809.0,503.0
7.447,-7649.310292603052,-5755.050996039133,502.575707381416
7.72,-7639.0,-5669.0,503.0
7.727,-7638.611603094709,-5666.302307669365,503.1028610668769
7.821,-7633.0,-5628.0,505.0
8.007,-7622.956426705739,-5553.652274904987,511.1627436471276
8.04,-7621.0,-5541.0,512.0
8.167,-7612.5615655207985,-5494.046322428696,513.7296974888812
8.221,-7609.0,-5475.0,514.0
8.441,-7596.0,-5403.0,514.0
8.527,-7591.017825555887,-5376.788738775249,514.6065765073168
8.641,-7584.0,-5342.0,516.0
8.847,-7568.93308802381,-5273.659966568592,519.3938220995585
8.981,-7560.0,-5235.0,521.0
9.007,-7558.51352200783,-5228.666120792768,521.1769819904517
9.301,-7545.0,-5173.0,521.0
9.407,-7539.434151183301,-5150.169800057575,520.7807509917938
9.581,-7530.0,-5113.0,521.0
9.607,-7528.732792353172,-5108.453883525842,521.170315767616
9.701,-7524.0,-5092.0,522.0
9.767,-7519.679972481984,-5076.303783843386,522.6160657485136
9.94,-7507.0,-5029.0,524.0
10.168,-7498.957286417676,-5000.589853834978,524.2201483186789
10.381,-7493.0,-4982.0,525.0
10.528,-7485.706611919424,-4958.519596773635,526.7889420507164
10.561,-7484.0,-4953.0,527.0
10.721,-7476.0,-4927.0,527.0
10.728,-7475.651352002976,-4925.858039601074,527.0420934849687
10.881,-7468.0,-4901.0,529.0
10.888,-7467.650661277301,-4899.912902016391,529.0845042429336
11.121,-7455.0,-4864.0,531.0
11.248,-7445.203271522624,-4838.687699792479,532.1582553007281
11.448,-7427.926852428945,-4797.054891196494,533.9274592520889
11.46,-7427.0,-4795.0,534.0
11.648,-7414.142603584053,-4769.383384888812,534.6597397496237
11.74,-7408.0,-4758.0,535.0
11.848,-7400.368474396503,-4743.754726588792,535.6036703543234
12.007,-7384.850175254999,-4720.158468457711,536.6905671791407
12.1,-7366.0,-4703.0,537.0
12.26,-7321.0,-4671.0,537.0
12.287,-7315.159414160976,-4667.239758148702,537.018753254496
12.487,-7293.116913371629,-4656.783493615914,537.591564297625
12.56,-7285.0,-4654.0,538.0
12.687,-7265.191168746447,-4646.536766155233,538.9699595151525
12.9,-7215.0,-4630.0,541.0
12.927,-7207.024164173977,-4627.981301906867,541.250823875742
13.1,-7151.0,-4616.0,543.0
13.167,-7130.509224665386,-4612.168134089311,543.9227168565959
13.367,-7075.792383469494,-4603.597691245412,547.5192662287807
13.521,-7039.0,-4599.0,550.0
13.687,-7004.000365624557,-4595.590073508563,551.8916255469474
13.92,-6950.0,-4591.0,555.0
13.927,-6947.986080561361,-4590.807188571607,555.1440295936222
14.081,-6899.0,-4586.0,559.0
14.207,-6856.460883625588,-4582.1780927880545,562.8309930207118
14.28,-6831.0,-4580.0,565.0
14.487,-6754.986664750276,-4573.472587172809,570.5946187092143
14.5,-6750.0,-4573.0,571.0
14.687,-6677.168841983235,-4565.5265580309615,577.5514719951547
14.701,-6672.0,-4565.0,578.0
14.981,-6556.0,-4551.0,587.0
15.007,-6538.30731416242,-4548.137223445892,588.4183917989063
15.161,-6422.0,-4528.0,598.0
15.367,-6355.314479454065,-4515.76774328859,604.2352855819335
15.501,-6317.0,-4507.0,608.0
15.527,-6306.172172907324,-4504.4613206856175,608.9990893068133
15.821,-6125.0,-4461.0,625.0
15.847,-6106.927480053704,-4456.581972215728,626.5916787109766
16.007,-5992.374958772252,-4428.267805890463,636.7140936113574
16.2,-5878.0,-4400.0,647.0
16.207,-5874.920157045382,-4399.251651643198,647.2842573490152
16.368,-5824.735394275959,-4387.391842444258,652.1056792057713
16.528,-5776.792207854007,-4375.904200361363,656.7687834061823
16.601,-5730.0,-4364.0,661.0
16.768,-5568.501675460056,-4322.196252076478,675.3013526390009
16.841,-5506.0,-4306.0,681.0
17.128,-5398.004737561327,-4278.5215079346,692.5519753718116
17.201,-5372.0,-4272.0,695.0
17.328,-5310.4991073466,-4256.504910212128,699.9803093112499
17.461,-5214.0,-4237.0,708.0
17.641,-5040.0,-4212.0,724.0
17.688,-5008.751212060797,-4208.075255068865,726.9629380334044
17.848,-4965.173527434475,-4204.658990726644,731.4194129339936
18.0,-4928.0,-4203.0,735.0
18.161,-4849.0,-4196.0,742.0
18.208,-4825.499565216609,-4193.585113316967,744.1286360852368
18.34,-4763.0,-4186.0,750.0
18.528,-4680.861483498458,-4171.524908304392,758.3579189258481
18.721,-4600.0,-4152.0,766.0
18.78,-4575.0,-4145.0,768.0
18.847,-4546.52152977155,-4135.82542108137,770.4940038223173
18.961,-4499.0,-4118.0,775.0
19.087,-4450.236528005065,-4097.195364099823,779.4519231046534
19.2,-4399.0,-4073.0,784.0
19.367,-4293.161441855984,-4020.4231879185795,793.3361528699447
19.561,-4184.0,-3965.0,803.0
19.647,-4163.483617055546,-3954.490340946178,804.8753002955305
19.801,-4139.0,-3943.0,807.0
