Time,PosX,PosY,PosZ
0.0,-7661.372372123581,-6620.579788568584,501.74788122451974
0.124,-7666.650100078883,-6528.929939455505,501.9671686257723
0.132,-7667.0,-6523.0,502.0
0.312,-7675.0,-6390.0,503.0
0.404,-7678.861181211819,-6324.1182126375115,503.08414807035143
0.493,-7681.0,-6262.0,503.0
0.644,-7678.014373146832,-6156.148343184271,502.96559591734785
0.712,-7674.0,-6088.0,503.0
0.844,-7662.335209593906,-5909.577732441119,503.07183063087916
0.872,-7660.0,-5876.0,503.0
1.084,-7648.474348230867,-5739.823628704846,500.980187983689
1.272,-7638.0,-5666.0,503.0
1.284,-7637.0554435173,-5659.131736398829,503.42222662907983
1.512,-7614.0,-5498.0,514.0
1.684,-7593.833701503158,-5390.133809205674,514.9291914113769
1.691,-7593.0,-5386.0,515.0
1.952,-7562.0,-5243.0,521.0
1.964,-7560.604248321541,-5237.080934332559,521.1164946420996
2.132,-7541.0,-5158.0,521.0
2.204,-7532.009545016941,-5122.751328936537,521.2832106676141
2.372,-7511.0,-5043.0,523.0
2.564,-7491.457182674825,-4976.683754616396,525.3068582487293
2.611,-7487.0,-4962.0,526.0
2.724,-7476.1123399807775,-4926.284725910763,527.9630499236409
2.772,-7470.0,-4908.0,529.0
2.884,-7450.372979886919,-4854.167237185093,531.984893410355
2.972,-7435.0,-4814.0,534.0
3.244,-7408.781318726801,-4755.302669076561,534.9109611783219
3.352,-7396.0,-4738.0,535.0
3.604,-7347.704725828209,-4686.407604532539,536.7673390688275
3.652,-7337.0,-4678.0,537.0
3.844,-7286.823591367463,-4651.923754624043,537.6330040063767
3.872,-7276.0,-4648.0,538.0
4.044,-7194.135919787726,-4622.880079308822,541.8500116122352
4.052,-7191.0,-4622.0,542.0
4.204,-7153.467550245292,-4612.840144078728,543.578311010487
4.364,-7120.659640758609,-4609.305206611293,544.8751233726025
4.372,-7118.0,-4609.0,545.0
4.564,-7028.421327740338,-4598.445957810937,549.5844520754886
4.652,-6989.0,-4594.0,552.0
4.764,-6950.965357244637,-4590.142267066111,554.9469724229582
4.992,-6887.0,-4585.0,561.0
5.045,-6866.26397742823,-4583.28274668327,562.563879033368
5.205,-6795.006222190159,-4577.256853458552,567.7521374540341
5.212,-6792.0,-4577.0,568.0
5.365,-6727.80001283634,-4571.290855926256,573.8741927855768
5.392,-6715.0,-4570.0,575.0
5.684,-6542.142541145908,-4549.196916555302,588.2713959328883
5.752,-6506.0,-4544.0,591.0
5.844,-6463.9516885645135,-4537.238026421883,594.2577225900121
6.072,-6372.0,-4519.0,602.0
6.124,-6346.3569710651855,-4513.622063498138,604.2964753151746
6.284,-6257.600055673093,-4494.08635674954,612.5557419308457
6.292,-6253.0,-4493.0,613.0
6.453,-6160.0,-4470.0,622.0
6.564,-6100.518801597207,-4455.792502221732,626.8842584327406
6.632,-6064.0,-4447.0,630.0
6.793,-5972.0,-4424.0,639.0
6.884,-5916.259776018238,-4410.295467790057,644.10299953858
7.013,-5837.0,-4391.0,651.0
7.313,-5669.0,-4349.0,666.0
7.404,-5613.069335103057,-4334.458360248629,671.1205309078264
7.593,-5490.0,-4302.0,683.0
7.652,-5452.0,-4292.0,687.0
7.724,-5408.315002783347,-4280.51213933258,691.5633916914389
7.873,-5313.0,-4258.0,701.0
7.884,-5304.4431705767865,-4256.28144117821,701.806077993445
8.044,-5154.4702043140915,-4230.228593898697,715.3971580901552
8.192,-5023.0,-4211.0,727.0
8.324,-4944.588831358352,-4202.190869717183,733.8609692991727
