Time,PosX,PosY,PosZ
0.0,-7662.104486019149,-6602.468556685075,502.0039533155402
0.018,-7663.0,-6589.0,502.0
0.029,-7663.5512169529775,-6580.775347945684,501.99732720487947
0.158,-7670.0,-6483.0,502.0
0.269,-7674.708869455471,-6391.2598632300915,502.21697049170325
0.469,-7679.324646498862,-6215.6454513202025,502.9000641330915
0.518,-7679.0,-6175.0,503.0
0.749,-7669.439983085347,-5999.331484670045,503.03044116032686
0.899,-7661.0,-5895.0,503.0
1.078,-7651.0,-5774.0,503.0
1.109,-7648.5871273485845,-5751.714990770471,502.9150261264694
1.218,-7639.0,-5673.0,503.0
1.309,-7631.992434341661,-5616.078753885679,505.0020313803642
1.509,-7610.689900125976,-5478.930632718775,513.6127069943402
1.518,-7609.0,-5470.0,514.0
1.678,-7573.0,-5292.0,520.0
1.748,-7562.1259630525,-5240.279241780886,521.2098264260661
1.908,-7553.040561291835,-5202.116336118932,520.3943297351478
2.058,-7544.0,-5169.0,520.0
2.148,-7534.19315976155,-5130.4276583555475,520.9262451059906
2.279,-7517.0,-5064.0,523.0
2.437,-7498.0,-4998.0,525.0
2.468,-7494.555214618191,-4986.315596908295,525.398164092102
2.697,-7468.0,-4902.0,529.0
2.708,-7466.328408008216,-4897.297068138778,529.2325627162787
2.917,-7431.0,-4804.0,534.0
3.028,-7418.719877067186,-4771.695870448701,535.3058110643872
3.277,-7389.0,-4727.0,536.0
3.348,-7370.103606258283,-4709.740825783791,536.3605522254446
3.557,-7296.0,-4656.0,538.0
3.628,-7271.055501399281,-4643.711821541255,538.7328360940045
3.918,-7184.0,-4621.0,542.0
3.988,-7170.484052485082,-4618.1094289847,542.571601534422
4.148,-7148.506979862015,-4613.679307170159,543.6305496113202
4.258,-7123.0,-4610.0,545.0
4.388,-7075.5535946315995,-4604.11942278474,547.597257132999
4.588,-6987.825579977227,-4594.387950208362,552.7487316673286
4.598,-6984.0,-4594.0,553.0
4.748,-6933.807976618278,-4589.399329508386,556.6642001156986
4.957,-6868.0,-4584.0,562.0
5.118,-6803.0,-4578.0,567.0
5.228,-6756.0451780862895,-4573.797851679295,571.2876406315678
5.298,-6726.0,-4571.0,574.0
5.388,-6687.592892111909,-4567.137758636516,577.1271971768642
5.548,-6618.481219753022,-4559.269663586006,581.9408622835709
5.678,-6551.0,-4550.0,587.0
5.828,-6460.003129219585,-4535.866985405567,594.5099722434601
5.858,-6443.0,-4533.0,596.0
6.028,-6363.053037282145,-4517.734451559185,603.6700086037122
6.189,-6293.323990513391,-4502.001373290092,610.5960309531455
6.198,-6289.0,-4501.0,611.0
6.469,-6142.973284896358,-4466.203696551234,623.5975133388581
6.478,-6138.0,-4465.0,624.0
6.678,-6027.0,-4438.0,633.0
6.869,-5915.380932933933,-4410.856438326032,643.6290973244093
6.898,-5900.0,-4407.0,645.0
7.078,-5795.0,-4380.0,654.0
7.149,-5716.137522904113,-4360.260616401393,662.0224988005599
7.218,-5639.0,-4341.0,670.0
7.349,-5557.364811914247,-4320.246419413648,677.925384352091
7.578,-5492.0,-4303.0,683.0
7.589,-5485.526023307204,-4301.370762706995,683.602413285824
7.789,-5316.060197363321,-4259.568430923342,700.1160915837784
7.878,-5244.0,-4243.0,707.0
7.989,-5174.453658228572,-4228.81556037369,713.2592584444762
8.149,-5098.636218087484,-4218.103415438701,719.4980412520028
8.218,-5059.0,-4214.0,723.0
8.349,-4970.633852114602,-4206.480538141452,731.1786870231999
8.378,-4951.0,-4205.0,733.0
8.598,-4800.0,-4191.0,747.0
8.668,-4736.526821377797,-4179.818169760578,753.135741662881
8.868,-4541.460381120302,-4135.033995263095,772.2804302682944
