Time,PosX,PosY,PosZ
0.0,-7554.995271421437,-7549.009308196699,502.0000003037078
0.087,-7554.992675353892,-7549.0144185490535,502.0000004704471
0.161,-7555.0,-7549.0,502.0
0.287,-7555.0320241020845,-7548.936960628543,501.9999979431572
0.4,-7555.0,-7549.0,502.0
0.607,-7554.806547484021,-7549.380810833726,502.0000124250608
0.66,-7555.0,-7549.0,502.0
0.88,-7557.0,-7544.0,502.0
0.887,-7557.0599569757105,-7543.742377125193,502.0000130183941
1.14,-7559.0,-7531.0,502.0
1.207,-7559.836918111365,-7527.066775772376,501.99896918862163
1.341,-7562.0,-7518.0,502.0
1.407,-7563.240918693729,-7512.386164189919,502.0056433026509
1.5,-7565.0,-7504.0,502.0
1.607,-7566.694342751125,-7495.292802819096,501.93640807098586
1.72,-7569.0,-7483.0,502.0
1.807,-7571.8048098115805,-7468.252429514245,502.28638526128066
2.0,-7579.0,-7431.0,503.0
2.047,-7580.216409109254,-7424.923605600787,502.9712768303834
2.32,-7585.0,-7401.0,502.0
2.407,-7587.449641292939,-7386.836009787627,502.0671865938598
2.647,-7596.459739606279,-7331.462620320912,502.9657321285057
2.661,-7597.0,-7328.0,503.0
3.047,-7611.027022593525,-7231.469226118009,503.013557009832
3.081,-7612.0,-7224.0,503.0
3.207,-7615.102354839346,-7198.603168692506,502.98091362905365
3.421,-7620.0,-7155.0,503.0
3.528,-7623.15384166673,-7127.718489715697,502.99580417355696
3.561,-7624.0,-7120.0,503.0
3.768,-7627.693316539897,-7079.398844339912,503.0176189822504
3.781,-7628.0,-7076.0,503.0
4.088,-7638.609097224306,-6961.6094816754085,502.025843244937
4.101,-7639.0,-6957.0,502.0
4.288,-7643.233833449809,-6900.002052105257,501.9354344725503
4.421,-7646.0,-6858.0,502.0
4.488,-7647.641862547933,-6833.442268711133,502.00904848134064
4.64,-7652.0,-6771.0,502.0
4.821,-7658.0,-6691.0,502.0
4.928,-7660.93639087619,-6644.530182304023,501.9470577093046
5.088,-7665.509494714247,-6565.813659533005,501.975728118075
5.101,-7666.0,-6558.0,502.0
5.367,-7677.63502297573,-6364.087918458382,502.9627037909288
5.381,-7678.0,-6354.0,503.0
5.807,-7674.227960645255,-6104.472593071867,503.00504809148003
5.82,-7674.0,-6099.0,503.0
5.967,-7671.658599397033,-6046.756298910464,502.9816891073895
6.141,-7668.0,-5986.0,503.0
6.247,-7664.406911514927,-5936.119643730455,503.0002919877813
6.38,-7659.0,-5866.0,503.0
6.407,-7657.873589176172,-5851.782426064314,503.0016909338153
6.56,-7651.0,-5772.0,503.0
6.86,-7633.0,-5627.0,505.0
6.887,-7631.385641842693,-5615.056537442444,505.8560350148737
7.021,-7623.0,-5556.0,511.0
7.047,-7621.052604432,-5543.569464191202,511.71164010499723
7.321,-7597.0,-5407.0,514.0
7.447,-7588.967630578181,-5364.87323064749,515.254435168153
7.72,-7575.0,-5300.0,519.0
7.727,-7574.542710749152,-5297.9576934776105,519.0821193987573
7.821,-7568.0,-5269.0,520.0
8.007,-7555.213441143167,-5214.256930526097,519.9488623797249
8.04,-7553.0,-5205.0,520.0
8.167,-7544.6086279451265,-5170.482858109986,520.7571628823931
8.221,-7541.0,-5156.0,521.0
8.441,-7526.0,-5098.0,521.0
8.527,-7520.463504647943,-5077.2475147319265,521.6779096242932
8.641,-7513.0,-5050.0,523.0
8.847,-7497.35416316173,-4995.40915869716,524.9902867201725
8.981,-7488.0,-4964.0,526.0
9.007,-7486.414685501884,-4958.800785693479,526.1699973465998
9.301,-7471.0,-4911.0,528.0
9.407,-7464.018255277097,-4889.90280416042,529.0887318298638
9.581,-7451.0,-4853.0,531.0
9.607,-7449.017008146034,-4847.970538995067,531.2221208881552
9.701,-7441.0,-4829.0,532.0
9.767,-7433.191259982658,-4811.520930326738,532.7393089989654
9.94,-7409.0,-4760.0,535.0
10.168,-7390.4767669710545,-4727.701346759421,536.5678832947152
10.381,-7374.0,-4711.0,537.0
10.528,-7355.679552611639,-4693.755618637675,537.0201971777076
10.561,-7351.0,-4690.0,537.0
10.721,-7326.0,-4674.0,537.0
10.728,-7324.828738955784,-4673.35355448598,537.024947035911
10.881,-7298.0,-4660.0,538.0
10.888,-7296.744303617518,-4659.418020269696,538.0382709259542
11.121,-7251.0,-4641.0,539.0
11.248,-7216.999053557016,-4631.077138669296,540.2937554794887
11.448,-7161.608001341538,-4617.593877476572,542.8788043780017
11.46,-7159.0,-4617.0,543.0
11.648,-7126.868948403171,-4610.6228669596985,544.5011538479173
11.74,-7100.0,-4607.0,546.0
11.848,-7049.673097768878,-4600.94384111413,548.9717602420362
12.007,-6946.054799530605,-4589.595895727109,555.4964418385675
12.1,-6885.0,-4584.0,560.0
12.26,-6791.0,-4577.0,568.0
12.287,-6779.8327367692455,-4576.1755518431655,568.9980175129874
12.487,-6739.898789416162,-4572.631336666298,572.7731509204996
12.56,-6725.0,-4571.0,574.0
12.687,-6687.277904046325,-4566.859422878888,576.7985641036553
12.9,-6591.0,-4555.0,584.0
12.927,-6575.922753326027,-4552.904771561315,585.2150173464772
13.1,-6471.0,-4537.0,594.0
13.167,-6433.053924397182,-4530.374347439023,597.2673104350882
13.367,-6333.299627804211,-4509.734707444344,606.1295873549007
