Time,PosX,PosY,PosZ
0.0,-7450.007741695314,-7960.990182181691,502.0000000000083
0.087,-7450.012067410553,-7960.984641242966,502.00000000001273
0.161,-7450.0,-7961.0,502.0
0.287,-7449.947240046585,-7961.06715005693,501.99999999994446
0.4,-7450.0,-7961.0,502.0
0.607,-7450.6695430115105,-7959.892700147956,502.00000000033543
0.66,-7451.0,-7959.0,502.0
0.88,-7453.0,-7952.0,502.0
0.887,-7453.068844791124,-7951.711193932599,502.0000000003515
1.14,-7456.0,-7939.0,502.0
1.207,-7457.22626597606,-7934.950900151091,501.99999997217105
1.341,-7460.0,-7926.0,502.0
1.407,-7461.239217837693,-7921.158718913147,502.0000001523528
1.5,-7463.0,-7914.0,502.0
1.607,-7465.38944543578,-7905.559695699568,501.99999828320307
1.72,-7469.0,-7893.0,502.0
1.807,-7473.025868699961,-7878.259513039594,502.00000773156825
2.0,-7483.0,-7841.0,502.0
2.047,-7484.708171931247,-7834.689980640191,501.99997805522634
2.32,-7492.0,-7808.0,502.0
2.407,-7496.004475935525,-7792.852680173163,502.00028427598784
2.647,-7511.077080955437,-7734.641904905101,502.00018732348127
2.661,-7512.0,-7731.0,502.0
3.047,-7537.082145134558,-7628.975449153725,501.997225941937
3.081,-7539.0,-7621.0,502.0
3.207,-7545.5081289701775,-7593.7165073024335,502.0165785559165
3.421,-7556.0,-7548.0,502.0
3.528,-7562.055659693107,-7520.255687890258,501.95472051561757
3.561,-7564.0,-7511.0,502.0
3.768,-7577.0812530169605,-7443.962375887341,502.9551261494731
3.781,-7578.0,-7439.0,503.0
4.088,-7601.212717580959,-7305.07499024393,503.00753564330313
4.101,-7602.0,-7300.0,503.0
4.288,-7610.478373089632,-7237.782571222046,502.98408761416226
4.421,-7616.0,-7191.0,503.0
4.488,-7619.286978156405,-7163.027814118685,502.9975765928446
4.64,-7627.0,-7093.0,503.0
4.821,-7634.0,-7011.0,503.0
4.928,-7637.959436341354,-6963.631273974191,502.68231879787805
5.088,-7644.410467661466,-6883.813468825197,502.0324210050474
5.101,-7645.0,-6876.0,502.0
5.367,-7658.352071627172,-6684.035859164252,501.97947215004257
5.381,-7659.0,-6674.0,502.0
5.807,-7673.66934963479,-6423.354920495,502.98487760568963
5.82,-7674.0,-6418.0,503.0
5.967,-7677.332273299101,-6368.195071708009,503.0560481324521
6.141,-7680.0,-6313.0,503.0
6.247,-7680.755128387366,-6267.955190335222,502.99365339931796
6.38,-7680.0,-6203.0,503.0
6.407,-7679.489120516616,-6189.305750114975,503.0005832006791
6.56,-7675.0,-6110.0,503.0
6.86,-7666.0,-5963.0,503.0
6.887,-7665.23765991569,-5950.637824266736,503.0026960567169
7.021,-7661.0,-5888.0,503.0
7.047,-7659.877082116259,-5874.285461759099,502.9872759344993
7.321,-7644.0,-5716.0,503.0
7.447,-7638.014431674535,-5665.23558905438,503.660692240625
7.72,-7627.0,-5585.0,508.0
7.727,-7626.673524058678,-5582.5447813324645,508.19692222634427
7.821,-7622.0,-5548.0,511.0
8.007,-7611.021837857087,-5483.07643686409,513.8309191351822
8.04,-7609.0,-5472.0,514.0
8.167,-7601.255067040712,-5430.30258499503,513.9497575062705
8.221,-7598.0,-5413.0,514.0
8.441,-7585.0,-5346.0,516.0
8.527,-7579.962514290085,-5322.595811516868,517.2961316628732
8.641,-7573.0,-5292.0,519.0
8.847,-7558.57855023154,-5229.966006212825,520.6178486579253
8.981,-7550.0,-5194.0,521.0
9.007,-7548.546905532379,-5188.026262187018,521.0361227468994
9.301,-7535.0,-5135.0,521.0
9.407,-7529.608379011554,-5114.6138940963865,521.1823476684073
9.581,-7521.0,-5081.0,522.0
9.607,-7519.9456137841635,-5076.5137841466785,522.2034293457612
9.701,-7516.0,-5060.0,523.0
9.767,-7511.929852008265,-5045.420573553366,523.4066195250168
9.94,-7499.0,-5003.0,524.0
10.168,-7490.355271513071,-4972.449161510055,524.641177488636
10.381,-7484.0,-4951.0,526.0
10.528,-7476.689470119653,-4929.2595613322965,527.6842407770143
10.561,-7475.0,-4924.0,528.0
10.721,-7467.0,-4898.0,529.0
10.728,-7466.630794137228,-4896.890674057684,529.0398977462919
10.881,-7458.0,-4873.0,530.0
10.888,-7457.5869126272155,-4871.863231548924,530.0498989986198
11.121,-7442.0,-4830.0,532.0
11.248,-7429.975457608835,-4802.795174483644,533.206036086822
11.448,-7409.099422060138,-4761.007671548217,534.9247083198441
11.46,-7408.0,-4759.0,535.0
11.648,-7393.075329859331,-4734.9246164109345,535.7675699233131
11.74,-7386.0,-4725.0,536.0
11.848,-7377.142902517815,-4713.143662888129,536.2294500520757
12.007,-7359.244403676495,-4694.439715448898,536.5794701930857
12.1,-7338.0,-4681.0,537.0
12.26,-7288.0,-4656.0,538.0
12.287,-7281.736249145653,-4653.045211272985,538.1221285394968
12.487,-7260.898149795777,-4644.4901622051475,538.5824472791485
12.56,-7253.0,-4642.0,539.0
12.687,-7232.023013209133,-4635.361563976361,540.3095426754003
12.9,-7180.0,-4621.0,543.0
12.927,-7172.378662080688,-4619.314622461615,543.2372974511551
13.1,-7114.0,-4609.0,545.0
13.167,-7082.9943393156345,-4604.872362613886,546.5885959610426
13.367,-6963.674255968549,-4592.128584566147,554.559453007483
13.521,-6889.0,-4585.0,560.0
13.687,-6844.701944295654,-4581.2910150341495,563.4425293428005
13.92,-6802.0,-4578.0,567.0
13.927,-6800.047173181807,-4577.818292211636,567.1528910520261
14.081,-6750.0,-4573.0,571.0
14.207,-6709.9817913976685,-4569.394433912503,574.0781577970924
14.28,-6686.0,-4567.0,576.0
