Time,PosX,PosY,PosZ
0.0,-7660.619108221711,-6640.23972450392,501.87470359670345
0.227,-7670.593460660521,-6468.841819083895,501.974217371705
0.235,-7671.0,-6462.0,502.0
0.427,-7680.419533404857,-6288.641382400144,502.9077441548806
0.453,-7681.0,-6267.0,503.0
0.747,-7672.926044445969,-6069.521432995919,503.06087264760447
0.814,-7670.0,-6025.0,503.0
0.906,-7666.178582785807,-5960.079119742217,502.9332800567666
0.973,-7662.0,-5903.0,503.0
1.106,-7647.310444084396,-5752.14141834029,503.62465253468304
1.213,-7635.0,-5640.0,505.0
1.346,-7624.957772876819,-5559.082849035162,508.20543388454104
1.574,-7611.0,-5484.0,514.0
1.706,-7596.456209582105,-5406.137156547797,514.7153362385167
1.753,-7591.0,-5378.0,515.0
2.073,-7554.0,-5212.0,520.0
2.106,-7549.412576877368,-5193.254015787975,520.4843478357265
2.306,-7520.176340175106,-5077.3515713875595,522.7697955705376
2.333,-7517.0,-5065.0,523.0
2.466,-7505.250006049932,-5020.1769664443,523.8711363362195
2.694,-7488.0,-4963.0,526.0
2.906,-7456.510434736749,-4867.67015144099,530.9879724188359
2.954,-7449.0,-4847.0,532.0
3.226,-7409.186835506746,-4758.797505220747,535.2557234928785
3.334,-7392.0,-4733.0,536.0
3.587,-7345.130112797765,-4687.0824637036885,537.3631365008783
3.794,-7308.0,-4662.0,538.0
3.907,-7290.786652068543,-4652.202806846218,538.139797135548
4.174,-7223.0,-4631.0,540.0
4.267,-7171.475182836354,-4619.469136908585,542.2808017802457
4.334,-7136.0,-4612.0,544.0
4.547,-7079.7241144375985,-4602.733360887094,547.8353954798517
4.707,-7050.559682835338,-4600.73815459697,549.7136615575457
4.734,-7043.0,-4600.0,550.0
4.867,-6996.148751222671,-4595.00249246706,551.4941336614472
4.894,-6986.0,-4594.0,552.0
5.107,-6905.191090665447,-4587.280034526592,558.7269725886906
5.115,-6902.0,-4587.0,559.0
5.267,-6838.622951878575,-4581.045536030602,564.0636813400732
5.294,-6827.0,-4580.0,565.0
5.534,-6720.0,-4571.0,574.0
5.547,-6713.998193423332,-4570.422237594843,574.4913361717146
5.695,-6645.0,-4563.0,580.0
5.707,-6639.490724329,-4562.353257726991,580.437554101276
5.907,-6548.656342878157,-4550.338456165352,587.7144600775767
6.014,-6487.0,-4540.0,593.0
6.067,-6450.910775504665,-4533.404372858345,596.1987709993642
6.235,-6331.0,-4510.0,607.0
6.387,-6260.895838667423,-4495.167979462037,613.0719480254721
6.574,-6190.0,-4478.0,619.0
6.667,-6141.104376287061,-4465.7612094658125,623.2178133233688
6.795,-6066.0,-4447.0,630.0
6.947,-5978.674140740256,-4425.808112812213,638.5435134053948
6.974,-5963.0,-4422.0,640.0
7.147,-5860.401458608915,-4396.791334720902,648.6616307731872
7.193,-5833.0,-4390.0,651.0
7.347,-5741.347824904928,-4367.1204809207675,659.3938661029899
7.374,-5725.0,-4363.0,661.0
7.533,-5627.0,-4338.0,671.0
7.587,-5593.983220309475,-4329.4334103564815,674.1589693149622
7.834,-5439.0,-4289.0,688.0
7.946,-5359.181810216439,-4268.943781658922,695.7745557395813
7.993,-5326.0,-4261.0,699.0
8.146,-5224.734317373262,-4239.030930978764,708.4659161676225
8.273,-5143.0,-4225.0,716.0
8.346,-5095.0405455612145,-4218.550773497779,720.5051280718833
