Time,PosX,PosY,PosZ
0.0,-7662.947455157302,-6591.9409845809705,501.93184389996895
0.04,-7665.0,-6558.0,502.0
0.286,-7678.821592257948,-6323.615759219323,502.82083980144745
0.36,-7681.0,-6265.0,503.0
0.446,-7681.574280222697,-6210.740615047158,503.10007980382125
0.7,-7674.0,-6086.0,503.0
0.725,-7672.917389448118,-6069.560723886897,502.99683682123515
0.9,-7664.0,-5936.0,503.0
0.965,-7660.0810409654605,-5885.943784614246,502.9740891819949
1.125,-7649.378770517291,-5767.359047203169,502.94509528577487
1.16,-7647.0,-5743.0,503.0
1.3,-7636.0,-5645.0,504.0
1.485,-7606.351547822396,-5461.702923587559,511.25414373280864
1.58,-7592.0,-5381.0,515.0
1.805,-7574.336404807313,-5293.889922878421,519.0023464555156
1.94,-7565.0,-5256.0,520.0
2.12,-7547.0,-5181.0,521.0
2.205,-7538.075763636688,-5144.0900573981435,520.9210144043585
2.26,-7532.0,-5120.0,521.0
2.406,-7513.995671470585,-5054.45759806183,522.6295220790475
2.5,-7503.0,-5016.0,524.0
2.686,-7485.3388463442125,-4955.07454705321,526.2673471505987
2.74,-7480.0,-4938.0,527.0
2.92,-7460.0,-4879.0,530.0
3.046,-7446.0267833102935,-4840.500868518459,532.5615262425079
3.14,-7435.0,-4813.0,534.0
3.379,-7402.0,-4747.0,535.0
3.406,-7397.811344025769,-4740.430369711948,535.2692035566309
3.539,-7375.0,-4711.0,537.0
3.606,-7361.143854617415,-4697.66025795254,537.5046403634625
3.86,-7295.0,-4656.0,538.0
3.926,-7275.160584735635,-4647.60574560116,538.465835289503
4.079,-7229.0,-4632.0,540.0
4.166,-7206.5345180313325,-4625.487387457252,540.8581449476297
4.319,-7161.0,-4616.0,543.0
4.486,-7074.69490214201,-4603.868068040686,547.7309638705567
4.599,-7019.0,-4597.0,551.0
4.886,-6942.717142226646,-4589.62636479493,556.4378227211048
4.96,-6922.0,-4588.0,558.0
5.046,-6892.907423468827,-4585.680470019942,560.1261901049268
5.26,-6802.0,-4578.0,567.0
5.326,-6770.967594602338,-4575.1272283853905,569.6393328194845
5.48,-6698.0,-4568.0,576.0
5.566,-6661.374052333035,-4564.255270491629,578.9059941335481
5.699,-6606.0,-4558.0,583.0
5.886,-6517.204637077013,-4545.684308909086,589.6917655620493
5.919,-6501.0,-4543.0,591.0
