Time,PosX,PosY,PosZ
0.0,-7664.5885171070195,-6567.853958204231,501.93988188230867
0.016,-7665.493517554768,-6553.51593690206,501.9563368745282
0.044,-7667.0,-6530.0,502.0
0.176,-7672.782562648723,-6445.556109486652,502.4534681752144
0.324,-7677.0,-6366.0,503.0
0.376,-7678.003013085909,-6331.619615496951,503.07687992652274
0.576,-7678.605250623246,-6176.890663003038,503.0015107836132
0.604,-7678.0,-6155.0,503.0
0.844,-7667.0,-5973.0,503.0
0.856,-7666.397208852858,-5964.190057792668,502.97314232456233
1.003,-7658.0,-5852.0,503.0
1.216,-7633.131479129976,-5632.556443960559,508.75564166495116
1.303,-7623.0,-5555.0,511.0
1.496,-7606.486626071644,-5449.252007375655,512.9634412355988
1.683,-7591.0,-5375.0,515.0
1.736,-7585.430887941658,-5348.767669862179,516.3127790979262
1.882,-7566.0,-5261.0,520.0
2.062,-7533.0,-5125.0,520.0
2.136,-7523.232354138245,-5086.60334851234,520.257417528238
2.295,-7512.085780271112,-5047.483548173221,522.1508167140239
2.422,-7503.0,-5017.0,524.0
2.682,-7475.0,-4922.0,528.0
2.695,-7473.39872698099,-4917.038109155847,528.2411180540206
2.975,-7435.980986421531,-4816.254121330491,533.888689502145
2.982,-7435.0,-4814.0,534.0
3.215,-7401.381538814202,-4747.830628526348,536.372711787795
3.383,-7375.0,-4711.0,537.0
3.495,-7356.059813350743,-4691.585475985626,537.1034451364974
3.695,-7314.590338436603,-4664.725318904715,537.2281684672147
3.782,-7287.0,-4653.0,538.0
3.975,-7207.293413565731,-4626.834960025759,541.2686547413583
4.023,-7190.0,-4622.0,542.0
4.135,-7158.882636428039,-4614.705598533698,543.2404528362209
4.295,-7124.272902013494,-4609.961756550763,544.6478462992784
4.322,-7117.0,-4609.0,545.0
4.536,-7044.142411104689,-4599.5851847905315,549.1391958345326
4.602,-7019.0,-4597.0,551.0
4.723,-6971.0,-4593.0,555.0
4.776,-6948.1993215345965,-4590.998292245626,556.6598976137195
4.923,-6882.0,-4585.0,561.0
5.016,-6842.583481442571,-4581.944235050462,563.9549244870647
5.103,-6806.0,-4579.0,567.0
5.216,-6756.4871585261835,-4574.13416486721,571.49451833926
5.303,-6717.0,-4570.0,575.0
5.376,-6683.041853524547,-4566.494356643214,577.7717346953393
5.523,-6614.0,-4559.0,583.0
5.616,-6571.624296189909,-4553.597527359794,586.1901101261554
5.776,-6490.290751581894,-4540.76553536699,592.6386778227426
5.783,-6486.0,-4540.0,593.0
6.056,-6296.851045880128,-4502.661892097933,609.8224962876917
6.083,-6284.0,-4500.0,611.0
6.216,-6246.047763343568,-4491.817832509517,614.5601446383137
6.304,-6218.0,-4485.0,617.0
6.376,-6181.857875786414,-4475.996966592371,619.9814613544854
6.544,-6074.0,-4449.0,629.0
6.763,-5959.0,-4421.0,640.0
6.776,-5952.323931757804,-4419.379048962094,640.5948452163285
6.983,-5829.0,-4389.0,651.0
7.056,-5764.368035031481,-4372.656179118217,656.9537186960785
7.243,-5586.0,-4327.0,674.0
7.256,-5576.969795267773,-4324.66930359083,674.8548738995984
7.496,-5490.37910312545,-4301.847211660528,682.7688546413469
7.603,-5448.0,-4291.0,687.0
7.763,-5351.0,-4267.0,697.0
7.856,-5291.179374579011,-4253.061180989828,702.7603903394158
7.944,-5234.0,-4241.0,708.0
8.056,-5159.645623609066,-4227.844601666467,714.5652293780945
8.183,-5074.0,-4216.0,722.0
8.256,-5024.565534315105,-4210.722562708977,726.3391046535188
8.503,-4854.0,-4197.0,742.0
8.536,-4830.376095850215,-4194.800092034366,744.3341641167029
8.703,-4704.0,-4178.0,757.0
8.736,-4676.3751534258045,-4172.159397576767,759.6305647347095
8.922,-4519.0,-4128.0,774.0
9.135,-4407.468657539511,-4081.8691458851076,784.3618904882962
9.283,-4333.0,-4043.0,791.0
9.462,-4214.0,-3982.0,801.0
9.575,-4138.975950063291,-3945.047660063705,807.1161841521164
9.683,-4068.0,-3912.0,813.0
9.823,-3974.0,-3872.0,821.0
9.895,-3923.9138712599715,-3852.6725428074,824.8058902367975
10.042,-3822.0,-3817.0,832.0
10.095,-3787.653142498798,-3805.983230343423,834.563579058705
10.322,-3622.0,-3765.0,846.0
10.335,-3608.606677593971,-3762.5036941934413,846.7265515880385
10.543,-3368.0,-3724.0,858.0
10.615,-3313.0918382327386,-3716.3139204107833,860.2507220832554
10.855,-3210.9024235039424,-3705.455485427898,861.9997400907962
10.862,-3207.0,-3705.0,862.0
11.163,-2991.0,-3675.0,861.0
11.176,-2982.868905635654,-3673.5206162928157,860.9769637587957
11.343,-2892.0,-3653.0,861.0
11.456,-2829.272885357847,-3634.91726326819,861.2319177230903
11.643,-2725.0,-3597.0,862.0
11.803,-2646.0,-3558.0,863.0
11.816,-2640.001563125968,-3554.7400619682453,863.0718262132498
11.976,-2569.3606599324235,-3512.20782520272,863.7848419792937
12.023,-2547.0,-3496.0,864.0
12.223,-2447.0,-3411.0,865.0
12.336,-2410.0475183845106,-3374.1714591835594,865.3764568421752
12.544,-2368.0,-3316.0,866.0
12.576,-2360.818325602651,-3304.3848488134263,866.1565195039642
12.723,-2327.0,-3244.0,867.0
12.816,-2309.299741679878,-3205.0887182783026,867.4685110096848
13.104,-2274.0,-3083.0,869.0
13.256,-2265.028356610019,-3015.47464578253,870.4049907303008
13.323,-2263.0,-2986.0,871.0
13.696,-2272.067397658004,-2827.8632378544958,872.9435932823294
13.723,-2274.0,-2816.0,873.0
13.884,-2291.0,-2740.0,874.0
14.016,-2319.617125930602,-2659.410799901057,879.1185945304536
14.143,-2347.0,-2592.0,884.0
14.336,-2366.197320669542,-2551.77600233081,884.1966432071455
14.403,-2375.0,-2537.0,884.0
14.696,-2448.8894384567475,-2419.9887951480273,885.9854047253122
14.703,-2451.0,-2417.0,886.0
14.963,-2534.0,-2311.0,885.0
14.976,-2538.246503626689,-2305.7743830424583,884.9713007368277
15.136,-2590.7661205316695,-2241.387408241073,885.1428800731835
15.296,-2636.725786615501,-2184.8606006313303,885.8290805467512
15.343,-2647.0,-2172.0,886.0
15.496,-2670.28734771544,-2141.8779740699792,886.4565161976093
15.623,-2687.0,-2115.0,887.0
15.775,-2712.6137430431636,-2065.6947744086237,888.1598330174577
15.843,-2723.0,-2042.0,889.0
15.935,-2734.1752208678663,-2010.9621640548046,890.537351070901
16.083,-2745.0,-1960.0,893.0
16.295,-2745.070925261376,-1877.262709488801,893.9161393334473
16.323,-2744.0,-1867.0,894.0
16.455,-2735.9681626945,-1822.8130154889475,894.5669104934915
