Time,PosX,PosY,PosZ
0.0,-7660.754638683428,-6626.817796319867,502.01555145868264
0.024,-7662.0,-6608.0,502.0
0.143,-7668.0,-6520.0,502.0
0.214,-7671.587792772521,-6470.6507061074235,502.3255844899511
0.324,-7676.0,-6386.0,503.0
0.414,-7677.04933118038,-6293.646785747842,503.1937146589882
0.604,-7674.0,-6085.0,503.0
0.613,-7673.80439244269,-6077.548746907086,502.99644304352705
0.853,-7667.12660194408,-5959.267938600962,503.1204726369774
0.963,-7662.0,-5902.0,503.0
1.053,-7656.516785369085,-5838.2785874348165,502.73694249213077
1.124,-7651.0,-5781.0,503.0
1.293,-7632.562255223603,-5630.51182886333,506.96175881845977
1.503,-7607.0,-5459.0,514.0
1.533,-7603.949418730383,-5440.586061724443,514.7167588846164
1.773,-7583.723702361486,-5338.965509016251,518.1028456131461
1.864,-7575.0,-5300.0,519.0
2.014,-7557.1206406656465,-5221.374547676996,520.4522389846417
2.064,-7549.0,-5188.0,521.0
2.224,-7517.0,-5064.0,523.0
2.494,-7487.00836295018,-4960.251730945121,525.944240328233
2.684,-7474.0,-4922.0,528.0
2.854,-7460.31799160511,-4879.614844613654,530.0636906308025
2.984,-7446.0,-4840.0,532.0
3.014,-7441.97033913121,-4829.77480230565,532.5120838776769
3.165,-7419.0,-4777.0,535.0
3.214,-7411.5826677266605,-4762.773914914629,535.4556961308583
3.384,-7386.0,-4724.0,536.0
3.454,-7374.888473333239,-4710.2452095522885,536.2122835489452
3.725,-7310.0,-4663.0,538.0
3.894,-7231.450798820523,-4633.88673661091,540.6177654738032
3.924,-7220.0,-4630.0,541.0
4.054,-7188.456872279469,-4619.739631635934,542.0258084996822
4.254,-7149.338903155497,-4613.590202345849,543.7826286849834
4.265,-7145.0,-4613.0,544.0
4.414,-7064.935371593185,-4602.408114336042,548.1197232859196
4.483,-7030.0,-4598.0,550.0
4.774,-6962.462121578306,-4591.764075224891,554.5602695161058
4.943,-6922.0,-4589.0,558.0
5.134,-6842.733533354467,-4582.094428539905,564.1261708227472
5.164,-6830.0,-4581.0,565.0
5.334,-6757.243129160435,-4574.724295864263,569.6376054729429
5.364,-6740.0,-4573.0,571.0
5.563,-6597.0,-4557.0,584.0
