Time,PosX,PosY,PosZ
0.0,-7661.335857539219,-6630.46590987189,501.87118471173216
0.09,-7666.0,-6553.0,502.0
0.2,-7673.021109008081,-6434.703977356737,502.43878230269837
0.331,-7680.0,-6300.0,503.0
0.48,-7681.018185165235,-6217.19207396495,503.1222143211101
0.631,-7677.0,-6149.0,503.0
0.76,-7671.567791933929,-6054.354715766673,502.9573704071644
0.851,-7667.0,-5981.0,503.0
0.92,-7663.2861214507475,-5927.410696779176,503.08845452856957
1.01,-7658.0,-5859.0,503.0
1.08,-7653.428183478751,-5805.840241100234,502.5017653880051
1.25,-7640.0,-5677.0,503.0
1.36,-7628.764325481945,-5594.060524826126,508.51804138978923
1.411,-7623.0,-5556.0,511.0
1.56,-7604.437212166693,-5446.738568234701,514.6052820824268
1.671,-7588.0,-5363.0,516.0
1.72,-7579.8331884279,-5324.492331308181,516.7461204255188
1.96,-7538.428650481086,-5145.917296792021,520.8496573352668
1.971,-7537.0,-5140.0,521.0
2.12,-7523.088824023332,-5084.37338290032,522.5633216817777
2.331,-7509.0,-5036.0,524.0
2.4,-7501.924667111242,-5012.050284952578,524.5148054084051
2.551,-7484.0,-4952.0,526.0
2.72,-7465.029685050759,-4891.268698480627,528.9271612740371
2.771,-7459.0,-4874.0,530.0
2.92,-7440.049046858242,-4825.854041314471,533.3157803984451
2.97,-7434.0,-4811.0,534.0
3.08,-7422.005856416964,-4781.163565123732,534.2527374141484
3.23,-7397.0,-4738.0,535.0
3.271,-7386.0,-4724.0,536.0
3.28,-7383.764739813537,-4721.228238258466,536.1877917013435
3.471,-7351.0,-4688.0,537.0
3.56,-7330.067922386297,-4674.517176252682,537.2928134930096
3.671,-7299.0,-4658.0,538.0
3.92,-7227.256504271067,-4631.587814684421,540.6541655710768
4.031,-7194.0,-4623.0,542.0
4.161,-7154.086818923526,-4614.667529242798,543.588702496215
4.191,-7145.0,-4613.0,544.0
4.311,-7107.0,-4607.0,546.0
4.361,-7086.514932853851,-4604.418057221581,547.1580476992472
4.521,-7000.5114630738635,-4595.542075811309,552.2037861467803
4.651,-6942.0,-4590.0,556.0
4.721,-6920.874166148888,-4588.059169890136,557.6070699227349
4.951,-6872.0,-4584.0,562.0
5.081,-6821.324735326058,-4579.834446527751,565.4514902756805
5.131,-6800.0,-4578.0,567.0
5.281,-6736.36350298999,-4572.097657779204,572.3401715947703
5.351,-6706.0,-4569.0,575.0
5.561,-6610.508491663548,-4558.026629126938,583.1077585053642
5.611,-6587.0,-4555.0,585.0
5.771,-6510.0,-4544.0,591.0
