Time,PosX,PosY,PosZ
0.0,-7662.767282936758,-6594.999010999744,501.8882776243972
0.055,-7665.0,-6560.0,502.0
0.122,-7667.993760386147,-6514.55305982054,502.19671232135823
0.355,-7678.0,-6341.0,503.0
0.402,-7678.994134548421,-6306.018615016152,503.0468150711684
0.555,-7679.0,-6193.0,503.0
0.715,-7673.0,-6073.0,503.0
0.723,-7672.620704828213,-6066.712593558997,502.99990313911286
0.956,-7660.0,-5880.0,503.0
1.042,-7655.004402760621,-5822.391946943555,503.0499060343434
1.135,-7649.0,-5762.0,503.0
1.295,-7636.0,-5647.0,504.0
1.322,-7633.492906182515,-5627.909569802389,505.1526671005049
1.455,-7620.0,-5537.0,513.0
1.562,-7608.13153331308,-5466.055730288826,514.0930842352411
1.675,-7595.0,-5395.0,514.0
1.835,-7576.0,-5304.0,519.0
1.842,-7575.160971090677,-5300.183822028781,519.1602709879545
2.096,-7545.0,-5171.0,520.0
2.202,-7533.359062366668,-5124.758367238822,520.9374367485855
2.275,-7524.0,-5090.0,522.0
2.522,-7480.5830825179855,-4942.023881949344,527.0762579373227
2.575,-7473.0,-4917.0,528.0
2.762,-7457.218740125099,-4866.7578652251095,530.1040895873352
2.975,-7443.0,-4832.0,532.0
3.162,-7417.978370660577,-4775.792439631447,534.6344012452062
3.196,-7413.0,-4766.0,535.0
3.355,-7387.0,-4726.0,536.0
3.522,-7341.6014950633835,-4684.724611027416,536.7239377982743
3.595,-7323.0,-4670.0,537.0
3.722,-7299.3295648531,-4652.3898270734735,537.4306708660587
4.036,-7211.0,-4627.0,541.0
4.042,-7207.1863160878875,-4626.200720155352,541.1644980213879
4.135,-7142.0,-4613.0,544.0
4.322,-7052.596731872875,-4597.594593674415,548.192836739548
4.482,-7018.358488263402,-4595.478406670517,550.310229875987
4.636,-6980.0,-4593.0,553.0
4.802,-6927.767470203968,-4588.6617434875525,556.8418764930466
4.994,-6859.0,-4583.0,562.0
5.162,-6789.610816184431,-4577.73229625322,567.3696501545943
5.175,-6782.0,-4577.0,568.0
5.322,-6666.343325896988,-4564.251206212113,577.9738755480115
5.435,-6587.0,-4555.0,585.0
5.642,-6540.203715907285,-4549.380565672855,589.3919695980765
5.735,-6520.0,-4546.0,591.0
5.802,-6496.1372481538565,-4541.904900703869,592.7764093871763
5.962,-6410.495441261345,-4526.313368737284,599.2313014026845
5.995,-6389.0,-4522.0,601.0
6.202,-6233.66468086798,-4488.116035558154,614.783453980871
6.255,-6198.0,-4480.0,618.0
6.442,-6103.217222699778,-4457.614659493424,626.4207184777032
6.675,-6010.0,-4434.0,635.0
6.722,-5987.625081315561,-4428.30130139728,637.1956452374989
6.875,-5907.0,-4408.0,645.0
6.882,-5903.073578057861,-4407.036943774096,645.3529802887397
6.995,-5837.0,-4391.0,651.0
7.216,-5694.0,-4355.0,663.0
7.283,-5647.009280434543,-4342.886003053187,667.2279648074463
7.535,-5475.0,-4298.0,684.0
7.562,-5460.33600951387,-4294.183797408101,685.5495883729429
7.875,-5312.0,-4258.0,701.0
7.922,-5279.815536607843,-4251.024365297809,703.557052926239
8.036,-5196.0,-4234.0,710.0
8.162,-5120.889096464647,-4222.161124780599,716.8511527204932
8.235,-5078.0,-4217.0,721.0
8.402,-4966.587579681787,-4206.259978760951,731.5273774866155
8.455,-4930.0,-4203.0,735.0
8.715,-4753.0,-4185.0,752.0
8.762,-4721.828423157798,-4180.193784202685,754.9222334189525
8.995,-4570.0,-4145.0,769.0
9.075,-4518.0,-4127.0,774.0
9.122,-4488.361921087194,-4115.538714557843,776.8325266670225
9.375,-4321.0,-4037.0,792.0
9.402,-4298.297102576491,-4025.611946079165,793.922255334788
9.595,-4127.0,-3939.0,808.0
9.682,-4073.4217352097057,-3913.170365547093,812.3613071912563
9.915,-3969.0,-3870.0,821.0
10.002,-3911.562890551165,-3847.7013467605375,825.9091620933108
10.056,-3875.0,-3834.0,829.0
10.202,-3786.0655292205,-3803.6781926388308,836.1869513807402
10.316,-3694.0,-3781.0,842.0
