Time,PosX,PosY,PosZ
0.0,-7657.586559313534,-6662.812722339538,501.8144224336058
0.04,-7659.411495118253,-6633.0281560967815,501.8036006472457
0.172,-7666.0,-6541.0,502.0
0.36,-7676.127793001538,-6418.173919258818,502.8026163647045
0.432,-7678.0,-6349.0,503.0
0.612,-7676.0,-6123.0,503.0
0.64,-7675.403293682213,-6096.323866752412,503.0040420188245
0.84,-7670.357900649078,-6003.678553647451,503.1878698727083
0.952,-7666.0,-5956.0,503.0
1.2,-7650.72863291981,-5775.036315722081,502.51361462782614
1.232,-7648.0,-5749.0,503.0
1.36,-7635.139463276077,-5644.077389914377,506.81194798913265
1.532,-7616.0,-5515.0,513.0
1.601,-7608.965989267521,-5472.719632325064,514.3414747574519
1.832,-7587.0,-5359.0,516.0
1.894,-7580.953872440505,-5330.045505415237,516.661376664892
2.132,-7553.0,-5207.0,520.0
2.281,-7527.486561254696,-5104.63536729243,521.6933264367806
2.312,-7523.0,-5087.0,522.0
2.521,-7506.62525972334,-5025.846367116843,523.7183420340968
2.652,-7498.0,-4998.0,525.0
2.681,-7495.457480554273,-4989.858130681021,525.3437760702939
2.872,-7475.0,-4925.0,528.0
2.881,-7474.039525092044,-4921.999043171843,528.1297553150314
3.072,-7454.0,-4862.0,531.0
3.081,-7452.994411691927,-4859.243301220831,531.1502485497932
3.252,-7433.0,-4808.0,534.0
3.361,-7420.983088828847,-4777.961910831807,535.0676536113833
3.553,-7386.0,-4724.0,536.0
3.721,-7324.187197257948,-4670.456135098184,536.9555482418067
3.731,-7321.0,-4668.0,537.0
3.961,-7279.877757725429,-4644.972653913926,537.4870397574766
4.112,-7249.0,-4638.0,539.0
4.201,-7219.150373067245,-4629.577431321804,540.8072092616752
4.271,-7197.0,-4623.0,542.0
4.481,-7163.508953974687,-4612.709476297831,541.851231298143
4.611,-7076.0,-4603.0,547.0
4.771,-6866.0,-4583.0,562.0
4.841,-6801.450326019177,-4577.1046118262675,566.6263092931689
5.161,-6756.264118164498,-4574.4321162759725,569.7782860317526
5.252,-6733.0,-4572.0,572.0
5.371,-6679.0,-4566.0,577.0
5.441,-6646.23255987416,-4562.289251942877,579.8844550851592
5.572,-6586.0,-4555.0,585.0
5.792,-6479.0,-4539.0,594.0
5.881,-6433.947412511641,-4530.933158022023,597.2613270355805
5.951,-6398.0,-4524.0,600.0
6.201,-6266.957547286705,-4495.6886207452435,612.5153433054705
6.231,-6251.0,-4492.0,614.0
6.401,-6159.647580297695,-4470.10219604815,621.7970406819477
6.491,-6110.0,-4458.0,626.0
6.692,-5999.0,-4431.0,636.0
6.721,-5984.649720255197,-4427.512344848492,637.3477495533722
6.88,-5904.425265368803,-4407.871164710005,645.0147828941215
6.932,-5861.0,-4397.0,649.0
7.092,-5683.0,-4352.0,665.0
7.2,-5614.64407945084,-4334.607686333692,671.2494900500033
7.472,-5538.0,-4315.0,679.0
7.56,-5459.915947318585,-4295.358008210394,686.4614542433725
7.712,-5306.0,-4257.0,701.0
7.76,-5272.782672160877,-4248.939914544662,704.0975169734213
7.96,-5207.679229837738,-4235.235760222765,709.9233814835251
8.072,-5164.0,-4229.0,714.0
8.312,-5005.0,-4209.0,729.0
8.321,-4998.711197161112,-4208.385634406211,729.5504528802062
8.431,-4923.0,-4202.0,736.0
8.481,-4888.880821752995,-4199.236595929638,739.0499435715216
8.652,-4773.0,-4188.0,750.0
8.812,-4666.0,-4170.0,760.0
8.961,-4570.7228184018,-4145.22415133349,769.1605586325072
9.152,-4444.0,-4097.0,781.0
9.273,-4351.0,-4053.0,789.0
9.281,-4344.1582726824645,-4049.651880339159,789.5893488460061
9.481,-4146.165559342113,-3950.411493811969,806.8749254318594
9.592,-4063.0,-3909.0,814.0
9.801,-4001.7918039678393,-3882.218198295612,818.5451581843591
9.853,-3983.0,-3875.0,820.0
10.081,-3829.898013774132,-3819.2667489906444,832.2193157184013
10.093,-3819.0,-3816.0,833.0
10.281,-3619.555030790785,-3766.1405420786164,845.8898994251663
10.352,-3549.0,-3751.0,850.0
10.641,-3352.7093658623826,-3720.4325307577606,858.7720543211742
10.841,-3244.931557169259,-3710.0110937684467,860.766301977216
10.871,-3227.0,-3708.0,861.0
11.172,-3033.0,-3682.0,862.0
11.281,-2969.531214967381,-3670.6746270473113,861.317789629672
11.351,-2929.0,-3662.0,861.0
11.441,-2874.8517781465252,-3648.47976880307,861.0982073354966
11.631,-2760.0,-3612.0,862.0
11.792,-2672.0,-3573.0,862.0
11.801,-2667.0367520359846,-3570.4438696268135,862.0548324878102
11.972,-2574.0,-3516.0,864.0
12.041,-2542.4227797213925,-3494.2413912392904,864.3511405767655
12.272,-2457.0,-3421.0,865.0
12.332,-2435.0,-3399.0,866.0
12.401,-2408.661343004459,-3367.444312267021,866.9110516962637
12.692,-2306.0,-3199.0,868.0
12.721,-2300.0055164889986,-3186.3947784430775,868.07230836903
12.961,-2279.67173444239,-3115.768807191669,868.7637511809636
13.031,-2276.0,-3097.0,869.0
13.281,-2261.9417637508063,-3005.2617607633833,870.3257731597071
13.332,-2262.0,-2968.0,871.0
13.441,-2266.481071346628,-2867.836704992781,872.8554112658582
13.452,-2267.0,-2859.0,873.0
13.6,-2272.9728288591955,-2786.386063731499,873.566302133552
13.831,-2287.0,-2751.0,874.0
13.96,-2303.554723178744,-2703.2363103794805,877.44822352426
14.16,-2338.7102885675786,-2608.209556863276,883.7976369560135
14.172,-2341.0,-2603.0,884.0
14.392,-2391.0,-2510.0,885.0
14.44,-2406.697626937374,-2484.8853874338943,885.2348152478569
14.572,-2454.0,-2413.0,886.0
14.721,-2493.8444800352804,-2357.857110285654,885.8514990812733
14.912,-2538.0,-2305.0,885.0
15.001,-2563.7494680709974,-2274.8447427868955,884.8475208960382
15.152,-2610.0,-2220.0,885.0
15.241,-2634.383934435889,-2189.455899642749,885.3706737238224
15.352,-2662.0,-2152.0,886.0
15.492,-2693.0,-2104.0,887.0
15.561,-2706.3416806305,-2081.8943036437045,887.9531283891808
15.801,-2739.7907677758453,-1997.3412661051625,892.619850300528
15.832,-2742.0,-1981.0,893.0
15.992,-2746.0,-1885.0,894.0
16.201,-2739.8938588937544,-1828.942229516588,894.6682311590399
16.312,-2731.0,-1803.0,895.0
16.401,-2720.716947644991,-1772.455702991115,895.3005434330156
16.512,-2705.0,-1729.0,895.0
16.721,-2670.414069204329,-1654.9596618569533,890.112746508337
16.792,-2657.0,-1630.0,888.0
17.041,-2595.7177680054624,-1531.0309698011051,879.5635665984162
17.071,-2584.0,-1515.0,878.0
17.201,-2521.586125550891,-1434.7737718601818,869.6889728624316
17.251,-2501.0,-1409.0,867.0
17.401,-2467.5478755395425,-1368.0956668674044,862.9690232899691
17.591,-2432.0,-1330.0,860.0
17.641,-2411.689700188802,-1307.9117019123455,858.1356131014844
17.871,-2294.0,-1179.0,847.0
18.081,-2250.1812625985176,-1128.6727723795866,842.4266306839706
18.171,-2232.0,-1105.0,840.0
18.241,-2212.729503815401,-1079.3225841408448,837.3121481629348
