Time,PosX,PosY,PosZ
0.0,-7665.832315378523,-6550.5613783445715,502.6471303620497
0.2,-7673.095680827141,-6423.225927937593,502.9762416323764
0.227,-7674.0,-6407.0,503.0
0.48,-7680.4542189741,-6259.344889182051,503.0151758255799
0.546,-7680.0,-6213.0,503.0
0.786,-7670.0,-6017.0,503.0
0.8,-7669.30978646801,-6006.7189402827935,503.0080901207698
0.965,-7661.0,-5896.0,503.0
1.08,-7654.2511855592975,-5811.495636690741,502.420761109149
1.226,-7643.0,-5699.0,503.0
1.305,-7635.0,-5640.0,505.0
1.36,-7629.0573313795585,-5598.825335220858,506.6450198947857
1.586,-7602.0,-5432.0,514.0
1.679,-7589.519984250969,-5368.6142255377845,516.5729844023682
1.866,-7565.0,-5258.0,520.0
2.039,-7548.48754489255,-5187.022558579212,519.7920589468214
2.166,-7535.0,-5134.0,520.0
2.239,-7525.136612170546,-5097.067303780147,520.9941286015065
2.399,-7500.38814779157,-5007.562252216688,524.7434190847966
2.466,-7492.0,-4978.0,526.0
2.639,-7477.800572229834,-4930.573508321542,527.7690167339897
2.766,-7468.0,-4902.0,529.0
2.8,-7464.765936781215,-4892.965873554494,529.4645296429113
3.086,-7432.0,-4806.0,534.0
3.12,-7428.522366238097,-4797.1866264808195,534.2353198695172
3.306,-7402.0,-4748.0,535.0
3.446,-7357.0,-4694.0,537.0
3.52,-7339.999598596118,-4675.4467149336815,537.6133858368796
3.76,-7310.740882705557,-4661.33045160421,537.7126089665903
3.806,-7299.0,-4658.0,538.0
4.08,-7182.236801335131,-4622.6511479159735,542.0328467341798
4.166,-7156.0,-4615.0,543.0
4.28,-7140.308910943115,-4611.1746319031645,543.5882133427643
4.406,-7117.0,-4609.0,545.0
4.6,-7003.070093287887,-4596.199746365637,552.2372627960046
4.706,-6946.0,-4590.0,556.0
4.88,-6904.257493211024,-4586.546059683026,559.1641973349899
4.986,-6881.0,-4585.0,561.0
5.08,-6848.668055866641,-4582.411909835348,563.3437818507978
5.306,-6745.0,-4573.0,571.0
5.36,-6721.319906877026,-4570.593052731343,573.0022365373429
5.506,-6654.0,-4563.0,579.0
5.6,-6598.814342746533,-4556.064076863128,583.7278206458079
5.786,-6478.0,-4539.0,594.0
5.92,-6404.418241981474,-4526.103525218412,600.6378997406675
6.16,-6292.966216140438,-4501.765880552922,610.9693945976728
6.186,-6281.0,-4499.0,612.0
6.48,-6144.970720788668,-4466.090686266665,622.6958245078679
6.614,-6083.0,-4451.0,628.0
6.72,-6034.124367319888,-4439.279312973293,632.6741541859157
6.834,-5979.0,-4426.0,638.0
7.04,-5865.1272111901335,-4397.756576694897,647.9265598416142
7.213,-5766.0,-4373.0,657.0
7.24,-5750.997539005487,-4369.27627338937,658.5076215918383
7.393,-5658.0,-4346.0,668.0
7.6,-5470.029623095597,-4297.210769514423,684.815555258685
7.632,-5446.0,-4291.0,687.0
7.88,-5339.881430556232,-4264.830194382145,697.7393889392108
7.953,-5305.0,-4257.0,701.0
8.113,-5201.0,-4235.0,710.0
8.24,-5115.6380482852355,-4221.514565535126,717.8001941618473
8.432,-4988.0,-4208.0,730.0
8.479,-4956.503135298769,-4205.2653417032125,732.9860399255921
8.573,-4892.0,-4200.0,739.0
8.733,-4770.0,-4187.0,750.0
8.799,-4712.418436123319,-4176.2477156111345,755.4551729760184
9.053,-4493.0,-4117.0,777.0
9.239,-4420.117582446275,-4087.889627024026,783.2247626635357
9.353,-4374.0,-4064.0,787.0
9.6,-4212.065604531854,-3981.1444606861414,801.2973124418023
9.613,-4204.0,-3977.0,802.0
9.84,-4060.7220650628315,-3907.7300614160217,813.900306326036
9.854,-4047.0,-3902.0,815.0
10.0,-3871.8330761059037,-3833.2090602466474,828.9096719130773
10.013,-3858.0,-3828.0,830.0
10.36,-3683.2240183597805,-3776.909406276482,842.8528257169006
10.433,-3647.0,-3770.0,845.0
10.654,-3471.0,-3738.0,854.0
10.68,-3439.964383220744,-3733.629404204559,855.1999466739461
10.813,-3267.0,-3712.0,861.0
10.96,-3147.9282185747834,-3698.091058378508,864.0273036784475
11.12,-3106.408721803048,-3694.155347198752,863.3174041603553
11.293,-3044.0,-3684.0,862.0
11.44,-2957.7051347453707,-3667.5789563356025,861.1834302864844
11.494,-2926.0,-3661.0,861.0
11.6,-2870.0978510826426,-3648.160879230275,860.8647792391391
11.673,-2827.0,-3635.0,861.0
11.76,-2763.1489039530125,-3611.2105623386437,861.4485238161803
11.853,-2697.0,-3584.0,862.0
11.96,-2646.9131485495427,-3561.26947242725,862.3538708410206
12.173,-2588.0,-3524.0,863.0
12.28,-2546.01817039073,-3494.1780789655077,863.9478631288865
12.413,-2491.0,-3452.0,865.0
12.48,-2467.586156960926,-3431.75437631347,865.0984253112796
12.614,-2424.0,-3386.0,865.0
12.68,-2399.903182798958,-3355.2830499392403,865.2496954859515
12.894,-2322.0,-3235.0,867.0
13.04,-2290.901226472694,-3164.292648811123,868.1199995511372
13.32,-2270.6211948420914,-3059.235976553197,869.8380385517817
13.353,-2269.0,-3049.0,870.0
13.48,-2263.581290926257,-3013.6970551762447,870.5427269598971
13.733,-2262.0,-2927.0,872.0
13.76,-2263.1904723526104,-2912.2081129412913,872.2752527863213
13.933,-2275.0,-2808.0,874.0
13.96,-2276.79628433665,-2795.6310276883028,874.0743498487645
14.12,-2286.516726316444,-2749.935114753331,873.3847757345998
14.233,-2298.0,-2716.0,875.0
14.28,-2304.6758218313234,-2697.2963977567365,876.6381161924445
14.453,-2335.0,-2618.0,884.0
14.6,-2359.657556571423,-2565.8337667472983,884.118844331111
14.633,-2366.0,-2554.0,884.0
14.993,-2460.0,-2405.0,886.0
14.999,-2461.700781889534,-2402.63916687974,886.0117730183446
15.239,-2530.1289919845613,-2316.134110552897,885.2289965745501
15.333,-2557.0,-2284.0,885.0
15.559,-2620.3465473105584,-2207.6454288715154,885.8472539393375
15.573,-2624.0,-2203.0,886.0
15.653,-2644.0,-2177.0,887.0
15.799,-2675.888850999624,-2136.4402019947747,887.4599977502232
15.96,-2706.1731244667794,-2085.262094278912,887.3604815215859
16.013,-2716.0,-2059.0,888.0
16.193,-2746.0,-1949.0,892.0
16.2,-2746.7835031887034,-1945.4948960323445,892.1380243072548
16.44,-2751.393291458765,-1885.4143276219459,894.6792498425781
16.613,-2741.0,-1848.0,895.0
16.64,-2739.070589849151,-1838.9004434923388,894.999793517841
16.654,-2738.0,-1834.0,895.0
16.853,-2717.0,-1761.0,895.0
16.92,-2708.6578622828533,-1737.6997111647179,894.7015385372351
17.053,-2688.0,-1690.0,893.0
17.08,-2682.458130190853,-1678.931813167118,892.3456693072645
17.36,-2604.057556490114,-1545.1542426570245,880.761129603624
17.433,-2585.0,-1516.0,878.0
17.6,-2549.1226578831156,-1466.5150818281809,873.3241461913044
17.754,-2509.0,-1419.0,869.0
17.76,-2507.0020415358827,-1416.696260879739,868.7946438524954
17.92,-2441.907475904163,-1342.9775779740696,862.3166650080872
18.054,-2388.0,-1283.0,857.0
18.12,-2366.526475548334,-1259.4199881861161,854.8462895512506
18.36,-2306.4309093960164,-1193.807070112635,848.6129838869148
18.413,-2291.0,-1176.0,847.0
18.574,-2237.0,-1111.0,841.0
18.72,-2187.4144751243452,-1046.2298969315848,833.5814907716864
18.753,-2177.0,-1032.0,832.0
19.013,-2105.0,-927.0,822.0
19.04,-2097.425304247581,-915.6961018472707,820.9157079369598
19.233,-2036.0,-825.0,812.0
19.36,-1980.0521098505144,-745.3643417063789,804.5159913668929
19.494,-1920.0,-662.0,797.0
19.52,-1909.942378545046,-648.344786127046,795.8188023180933
19.674,-1858.0,-580.0,790.0
19.88,-1788.4361860021772,-493.55435774442645,781.5921294640466
19.894,-1783.0,-487.0,781.0
20.04,-1721.00407195902,-413.38000309634157,774.8694503598842
20.093,-1702.0,-391.0,773.0
20.2,-1675.0722845743642,-359.4337738101998,770.1316764812002
20.4,-1652.6129847375773,-334.3228341656419,767.1459779248718
20.473,-1641.0,-322.0,766.0
20.672,-1597.0,-277.0,762.0
20.72,-1586.2603254916382,-267.0548751945467,760.631080991392
20.913,-1546.0,-234.0,755.0
21.113,-1503.0,-209.0,753.0
21.12,-1500.8693375012142,-208.37205297973338,752.8530415801282
21.333,-1425.0,-198.0,746.0
21.44,-1406.4490932031406,-198.69646607983032,744.2720524548736
21.593,-1392.0,-206.0,743.0
21.759,-1358.830037545746,-221.532575320586,739.9364360335248
21.873,-1334.0,-235.0,737.0
22.053,-1302.0,-259.0,732.0
22.119,-1291.9717793739894,-269.025047782251,731.0460405921137
22.253,-1274.0,-291.0,730.0
22.493,-1248.0,-336.0,726.0
22.52,-1245.3380210473615,-342.53339849307736,725.4766480308996
22.753,-1225.0,-406.0,721.0
22.96,-1214.4636131744144,-445.5910372532166,718.0581559696551
23.093,-1208.0,-472.0,716.0
23.2,-1201.4524552803525,-498.52519217465897,713.9375880004455
23.333,-1192.0,-535.0,711.0
23.36,-1189.9618702857551,-542.3826592062388,710.3743554906397
23.493,-1179.0,-580.0,707.0
23.714,-1156.0,-653.0,700.0
23.8,-1147.1540408458359,-678.102296969774,697.9928191809154
23.893,-1137.0,-705.0,696.0
24.0,-1123.2300657105686,-739.8703229427281,693.2665836641623
24.16,-1098.9537364847463,-798.1152430525261,688.7276603924199
24.233,-1087.0,-825.0,687.0
24.393,-1060.0,-882.0,684.0
24.4,-1058.8925173949513,-884.2320869660351,683.8776199099473
24.56,-1036.4172327961226,-926.9232046420158,680.9949740592218
24.633,-1029.0,-939.0,679.0
24.693,-1024.0,-946.0,677.0
24.72,-1021.0975551298557,-950.4027423865726,676.2429722811987
24.913,-987.0,-1004.0,673.0
24.92,-985.490437618753,-1006.0690098783291,672.8606636783933
25.12,-937.8252342059262,-1061.6504256303417,667.6532088295434
25.193,-923.0,-1077.0,666.0
25.44,-892.7596222580238,-1102.9259123761717,663.1835680108376
25.593,-873.0,-1113.0,662.0
25.68,-857.6144447610333,-1119.9367256006058,661.1426688411333
25.694,-855.0,-1121.0,661.0
25.894,-817.0,-1132.0,659.0
25.96,-805.8243742440822,-1133.1478109342625,658.4315959490127
26.174,-775.0,-1128.0,657.0
26.24,-766.584385071021,-1123.9233752925463,656.6933348537899
26.454,-744.0,-1103.0,656.0
26.6,-735.0625270991839,-1082.477758646224,655.5510107359327
26.694,-732.0,-1069.0,655.0
26.873,-731.0,-1046.0,653.0
26.96,-731.4922863501577,-1035.1694540951305,651.6134283158308
27.033,-733.0,-1024.0,650.0
27.12,-736.8836618704951,-1006.0247801427032,647.290803673483
27.232,-743.0,-982.0,644.0
27.36,-747.7327903317806,-964.5586569728708,642.9951672715193
27.64,-756.0622087396855,-946.416849963273,643.8843480700451
27.673,-758.0,-943.0,643.0
27.733,-762.0,-936.0,641.0
27.8,-766.2341186978914,-928.1897053890846,639.9045258094116
27.953,-777.0,-909.0,640.0
28.08,-791.7277695041477,-887.8452466384133,637.5045941096561
28.253,-813.0,-860.0,633.0
28.519,-831.6568747863091,-838.4551247952393,631.1786014165217
28.533,-833.0,-837.0,631.0
28.759,-864.1196473278584,-803.5229633218088,625.6623936587944
28.874,-882.0,-785.0,623.0
29.073,-912.0,-755.0,620.0
29.12,-919.5646762281704,-747.0521873309547,619.2753342006239
29.36,-961.6458499118505,-699.6288181523405,614.9487150154739
29.533,-987.0,-667.0,612.0
29.72,-1005.4202558381019,-637.3120973551005,609.389953182085
29.833,-1014.0,-617.0,608.0
29.92,-1019.9983735322272,-598.2997662505012,606.9891542651576
30.033,-1026.0,-572.0,606.0
30.08,-1027.488388157299,-561.2023066742672,605.7980405497478
30.274,-1027.0,-517.0,605.0
30.28,-1026.8000408097196,-515.6152314716103,604.9181460759903
30.514,-1011.0,-462.0,599.0
30.52,-1010.4318870325285,-460.7143285480642,598.8110377460209
30.774,-982.0,-414.0,592.0
30.873,-970.0,-401.0,592.0
30.92,-961.66090124415,-393.36199449331156,591.3958054373799
31.12,-910.4426061315245,-351.711799686929,584.3845183141123
31.173,-899.0,-343.0,583.0
31.36,-872.795441188785,-325.3561537178438,581.5474464810821
31.493,-853.0,-315.0,580.0
31.654,-817.0,-297.0,575.0
31.76,-791.5154602779431,-284.52030567271134,571.9265538960902
31.934,-747.0,-264.0,568.0
31.96,-739.8245044197839,-260.9430323141888,567.529933740669
32.113,-696.0,-243.0,565.0
32.293,-641.0,-221.0,561.0
32.4,-591.5096977797418,-204.88706303327194,558.6102689141306
32.534,-527.0,-186.0,556.0
32.6,-503.4424069936879,-179.73759645550896,554.9937652151335
32.954,-437.0,-170.0,552.0
33.0,-427.8960197936689,-169.18943546455398,551.7315035279989
33.213,-376.0,-170.0,550.0
33.24,-367.8202706461065,-171.75649344533173,549.5696097812942
33.432,-308.0,-192.0,546.0
33.64,-279.94542397865035,-209.52791033880837,545.8048775731435
33.773,-265.0,-233.0,546.0
33.88,-246.51474667533887,-265.3625787310865,545.5095926580073
33.973,-231.0,-294.0,545.0
34.2,-213.25865507456737,-334.1036557399528,544.755386601542
34.4,-207.5006986374934,-361.58785269952267,544.9932034358966
34.413,-207.0,-364.0,545.0
34.633,-197.0,-415.0,545.0
34.64,-196.6902225123628,-416.84224891373776,544.999539792695
34.793,-191.0,-454.0,545.0
34.92,-189.39582476037705,-465.69879457206923,545.0001465584463
34.953,-189.0,-473.0,545.0
35.16,-185.17848049368484,-573.2567118427819,544.9998148700338
35.173,-185.0,-579.0,545.0
35.479,-185.1125156822044,-646.2526452063431,545.00877851543
35.593,-187.0,-674.0,545.0
35.773,-192.0,-741.0,545.0
35.84,-194.71293677946707,-767.6601253273498,545.0542663401341
35.974,-201.0,-822.0,545.0
36.16,-209.46984456420807,-902.0675524150688,543.6613178903317
36.273,-215.0,-953.0,543.0
36.473,-226.0,-1047.0,543.0
36.48,-226.39078263908362,-1050.3910664630723,543.0040094198359
36.64,-235.2159451042895,-1129.583778594767,543.0100721467657
36.693,-238.0,-1156.0,543.0
36.88,-247.5571117273951,-1250.976996689368,542.9809904873674
36.933,-251.0,-1282.0,543.0
37.054,-260.0,-1358.0,543.0
37.253,-271.0,-1458.0,542.0
37.28,-273.214947003025,-1476.8671409819165,541.9170720782654
37.52,-298.9569731693722,-1681.5126836771371,541.9926662696192
37.533,-300.0,-1689.0,542.0
37.773,-314.0,-1760.0,542.0
37.92,-332.0805928132549,-1833.7386756632902,542.0706283369466
38.053,-358.0,-1927.0,542.0
38.36,-441.3358114736143,-2174.4320529727543,541.023860709102
38.373,-444.0,-2182.0,541.0
38.56,-469.78894829211157,-2253.436846609837,540.9623611838398
38.653,-485.0,-2293.0,541.0
38.76,-510.3590270336784,-2357.826981634309,541.0052645386063
38.833,-529.0,-2405.0,541.0
38.96,-559.0362867357651,-2480.006678435985,540.9945708293329
39.074,-591.0,-2555.0,541.0
39.36,-708.6265276976967,-2807.1017531640714,541.0303358670717
39.413,-727.0,-2844.0,541.0
39.6,-773.019553299171,-2927.1600641625732,540.7846834069891
39.713,-808.0,-2979.0,541.0
39.76,-827.4863632543961,-3006.722489490314,541.2330501951461
39.894,-893.0,-3095.0,542.0
40.113,-999.0,-3211.0,542.0
40.2,-1043.2745865147454,-3252.9470804061384,542.3143195090307
40.373,-1142.0,-3334.0,543.0
40.573,-1277.0,-3422.0,542.0
40.68,-1334.0313502263496,-3454.50898252878,541.3043999341323
40.733,-1368.0,-3472.0,541.0
41.033,-1652.0,-3606.0,540.0
41.08,-1683.1292805581886,-3620.7230909985983,539.9132838405859
41.24,-1744.1580717106692,-3650.7023732024522,539.7428210680312
41.372,-1800.0,-3679.0,540.0
41.56,-1925.8843478923025,-3742.389277486678,540.9558882845187
41.573,-1935.0,-3747.0,541.0
41.76,-2062.3249456113117,-3811.8238278558615,541.064137698945
41.853,-2126.0,-3844.0,541.0
41.999,-2227.991727412092,-3894.7657174694677,541.0173751704367
42.053,-2263.0,-3912.0,541.0
42.253,-2377.0,-3967.0,541.0
42.413,-2475.0,-4012.0,542.0
42.48,-2520.98708384967,-4032.230276997938,542.1267213880192
42.593,-2603.0,-4067.0,542.0
42.72,-2695.7507641019433,-4104.027092064179,541.9119713379895
42.893,-2823.0,-4151.0,542.0
43.04,-2932.383226037816,-4187.932375011867,542.1726274720708
43.074,-2958.0,-4196.0,542.0
43.273,-3109.0,-4239.0,539.0
43.28,-3114.1950968024576,-4240.355407444424,538.8683004506378
43.44,-3233.475346224749,-4268.788234978766,535.3808376594739
43.453,-3244.0,-4271.0,535.0
43.68,-3440.3968819494494,-4306.452487965498,526.4411955893664
43.693,-3450.0,-4308.0,526.0
43.88,-3554.1502843171484,-4322.654989391915,521.1948848834795
44.073,-3637.0,-4331.0,517.0
